b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
23592960	23592960	7608948	7608972	7864320	3755576	11462344	15728640	3313232	0	0	5387296	0	
23592960	23592960	7608956	7608964	7864320	3723444	11494476	15728640	3293604	0	0	6301620	0	
23592960	23592960	7744520	7473400	15876096	1940748	13277172	15728640	4828312	3121604	0	6527649	101	
23592960	23592960	7744524	7473396	15876096	2032696	13185224	15728640	4859244	3124996	0	7635232	101	
23592960	23592960	7812388	7405532	15941632	2738652	12479268	15728640	4257216	1910136	0	4502141	111	
23592960	23592960	7812380	7405540	15941632	2673404	12544516	15728640	4246540	1937472	0	4837501	111	
23592960	23592960	7608956	7608964	15728640	1630096	13587824	15728640	4708012	3310144	0	3857533	99	
23592960	23592960	7608944	7608976	15728640	1733936	13483984	15728640	4781180	3290012	0	5730830	99	
23592960	23592960	7914152	7303768	16044032	2384192	12833728	15728640	4669032	2652248	0	4580520	113	
23592960	23592960	7914144	7303776	16044032	2383024	12834896	15728640	4658224	2614276	0	3195010	113	
23592960	23592960	8066828	7151092	16195584	2447896	12770024	15728640	4637252	2474580	0	4502043	122	
23592960	23592960	8066832	7151088	16195584	2481896	12736024	15728640	4668008	2501824	0	5415337	122	
23592960	23592960	7608960	7608960	15728640	2687288	12530632	15728640	3700844	1357272	0	3887541	97	
23592960	23592960	7608960	7608960	15728640	2890716	12327204	15728640	3919308	1450812	0	3447767	97	
23592960	23592960	7608932	7608988	15728640	2480248	12737672	15728640	4302044	2162672	0	2735355	100	
23592960	23592960	7608956	7608964	15728640	2416384	12801536	15728640	4287564	2166184	0	2928004	100	
23592960	23592960	7608960	7608960	15728640	2449628	12768292	15728640	4260228	2139372	0	4210383	100	
23592960	23592960	7608952	7608968	15728640	2386672	12831248	15728640	4374632	2303492	0	5205093	98	
23592960	23592960	7608960	7608960	15728640	2354556	12863364	15728640	4411680	2428396	0	7081026	98	
23592960	23592960	7608960	7608960	15728640	2447592	12770328	15728640	4272252	2121380	0	7653553	100	
