b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
15728640	15728640	5072640	5072640	5242880	2227824	7917456	10485760	1953440	0	0	4490837	0	
15728640	15728640	5072616	5072664	10485760	1444212	8701068	10485760	3162420	1889508	0	3811385	96	
15728640	15728640	5072628	5072652	10485760	1404168	8741112	10485760	3133884	1891708	0	3466396	96	
15728640	15728640	5208208	4937072	10633216	1718628	8426652	10485760	2821768	1318148	0	4665690	103	
15728640	15728640	5208208	4937072	10633216	1729304	8415976	10485760	2803048	1287412	0	4626224	103	
15728640	15728640	5072624	5072656	10485760	1399996	8745284	10485760	3279396	2036088	0	4023706	95	
15728640	15728640	5072632	5072648	10485760	1400212	8745068	10485760	3202092	2013424	0	5190465	96	
15728640	15728640	5276064	4869216	10698752	1592512	8552768	10485760	3097212	1707048	0	3616110	113	
15728640	15728640	5276064	4869216	10698752	1597088	8548192	10485760	3102480	1719064	0	4850933	113	
15728640	15728640	5072632	5072648	10485760	1655132	8490148	10485760	2830548	1390164	0	3429506	100	
15728640	15728640	5072632	5072648	10485760	1625668	8519612	10485760	2823720	1383416	0	1874306	100	
15728640	15728640	5072640	5072640	10485760	1558824	8586456	10485760	2538428	1183092	0	2648830	99	
15728640	15728640	5072640	5072640	10485760	1591124	8554156	10485760	2613180	1238316	0	3119130	99	
15728640	15728640	5377820	4767460	10801152	1622360	8522920	10485760	3160084	1745492	0	3961777	121	
15728640	15728640	5377840	4767440	10801152	1620376	8524904	10485760	3172784	1745512	0	3271189	121	
15728640	15728640	5072636	5072644	10485760	1654156	8491124	10485760	2844368	1414592	0	3488493	100	
15728640	15728640	5072640	5072640	10485760	1657424	8487856	10485760	2855548	1427232	0	3577261	99	
15728640	15728640	5072640	5072640	10485760	1590052	8555228	10485760	2695148	1334784	0	2745845	97	
15728640	15728640	5072640	5072640	10485760	1728380	8416900	10485760	2800568	1314920	0	2793655	97	
15728640	15728640	5530508	4614772	10952704	1654600	8490680	10485760	3300620	1887612	0	2419570	132	
15728640	15728640	5530504	4614776	10952704	1663748	8481532	10485760	3302108	1886192	0	3777321	132	
15728640	15728640	5072636	5072644	10485760	1626440	8518840	10485760	2740800	1352448	0	1561940	99	
15728640	15728640	5072612	5072668	10485760	1653664	8491616	10485760	2828472	1412908	0	1924442	99	
15728640	15728640	5072636	5072644	10485760	1626868	8518412	10485760	2827868	1415916	0	2493621	100	
15728640	15728640	5072636	5072644	10485760	1595924	8549356	10485760	2866888	1473864	0	3776208	99	
15728640	15728640	5072632	5072648	10485760	1653032	8492248	10485760	2834360	1415564	0	3251364	100	
15728640	15728640	5072632	5072648	10485760	1657116	8488164	10485760	2839448	1411832	0	3490108	99	
15728640	15728640	5072636	5072644	10485760	1656652	8488628	10485760	2809672	1328168	0	3452866	95	
15728640	15728640	5072636	5072644	10485760	1651540	8493740	10485760	2824660	1332840	0	7886663	95	
15728640	15728640	5072624	5072656	10485760	1630560	8514720	10485760	2894712	1463764	0	9117872	98	
15728640	15728640	5072624	5072656	10485760	1613744	8531536	10485760	2904956	1465144	0	7833548	98	
15728640	15728640	5072640	5072640	10485760	1691880	8453400	10485760	2847928	1370764	0	2337207	95	
15728640	15728640	5759512	4385768	11182080	2414352	7730928	10485760	2787816	686880	0	4508416	0	
15728640	15728640	5072640	5072640	10485760	1641520	8503760	10485760	2867756	1450488	0	2270052	98	
15728640	15728640	5072616	5072664	10485760	1302212	8843068	10485760	3201468	2100936	0	3259707	100	
15728640	15728640	5759508	4385772	11182080	2368860	7776420	10485760	2789908	686880	0	2809463	0	
15728640	15728640	5072636	5072644	10485760	1675072	8470208	10485760	2864480	1379508	0	4421510	95	
15728640	15728640	5072636	5072644	10485760	1334588	8810692	10485760	3222832	2102988	0	2389089	99	
15728640	15728640	5072624	5072656	10485760	1656700	8488580	10485760	2835844	1417268	0	4032393	100	
15728640	15728640	5072624	5072656	10485760	1703204	8442076	10485760	2885120	1444892	0	3322884	97	
15728640	15728640	5059688	5085592	10485760	1597272	8548008	10485760	2822016	1436828	0	2324287	99	
15728640	15728640	5072608	5072672	10485760	1625816	8519464	10485760	2510784	1100532	0	4579870	100	
15728640	15728640	5072640	5072640	10485760	1603468	8541812	10485760	2823440	1378456	0	6009479	97	
15728640	15728640	5072620	5072660	10485760	813232	9332048	10485760	1860456	1119844	0	3331800	100	
15728640	15728640	5072628	5072652	10485760	1689236	8456044	10485760	2825344	1382892	0	4523008	98	
15728640	15728640	5072636	5072644	10485760	2067676	8077604	10485760	2488712	722572	0	1744073	97	
15728640	15728640	5072632	5072648	10485760	2481856	7663424	10485760	2146180	0	0	1246670	0	
15728640	15728640	5072628	5072652	10485760	2415048	7730232	10485760	2130224	0	0	1478408	0	
15728640	15728640	5208212	4937068	10633216	1603748	8541532	10485760	2887284	1487688	0	4247002	103	
15728640	15728640	5208212	4937068	10633216	1474272	8671008	10485760	3057384	1811316	0	3872358	102	
15728640	15728640	5072636	5072644	10485760	1301512	8843768	10485760	3227388	2103468	0	1910440	98	
15728640	15728640	5276056	4869224	10698752	1637248	8508032	10485760	3038012	1603024	0	4835104	114	
15728640	15728640	5276056	4869224	10698752	1701404	8443876	10485760	2938456	1449496	0	3965302	116	
15728640	15728640	5072632	5072648	10485760	1309564	8835716	10485760	3214396	2085996	0	1774736	97	
15728640	15728640	5072640	5072640	10485760	1620992	8524288	10485760	2886412	1488960	0	1980044	100	
15728640	15728640	5072636	5072644	10485760	1657628	8487652	10485760	2855948	1434988	0	3358644	100	
15728640	15728640	5072624	5072656	10485760	1813288	8331992	10485760	2681660	1116616	0	1657917	98	
15728640	15728640	5377836	4767444	10801152	1654792	8490488	10485760	3133704	1702660	0	2711634	121	
15728640	15728640	5377836	4767444	10801152	1620144	8525136	10485760	3138264	1726048	0	2667299	121	
15728640	15728640	5072640	5072640	10485760	1693580	8451700	10485760	2516016	1063736	0	2829867	94	
15728640	15728640	5072636	5072644	10485760	1622244	8523036	10485760	2847444	1431044	0	1620836	100	
15728640	15728640	5072632	5072648	10485760	1626648	8518632	10485760	2842840	1412216	0	2292560	100	
15728640	15728640	5072632	5072648	10485760	1653252	8492028	10485760	2845180	1425604	0	3401694	98	
15728640	15728640	5072640	5072640	10485760	1629948	8515332	10485760	2847196	1416400	0	4271816	100	
15728640	15728640	5072628	5072652	10485760	1653772	8491508	10485760	2912392	1504860	0	2186134	96	
15728640	15728640	5530480	4614800	10952704	1634340	8510940	10485760	3317404	1888500	0	2032962	132	
15728640	15728640	5072624	5072656	10485760	1638556	8506724	10485760	2813884	1380816	0	2391552	98	
15728640	15728640	5530508	4614772	10952704	1655736	8489544	10485760	3314568	1888592	0	3794933	131	
15728640	15728640	5072640	5072640	10485760	1594248	8551032	10485760	2854120	1428904	0	5037310	100	
15728640	15728640	5072640	5072640	10485760	1568808	8576472	10485760	2833600	1419476	0	5808706	99	
15728640	15728640	5072624	5072656	10485760	1598424	8546856	10485760	2850552	1432988	0	13187843	99	
15728640	15728640	5072636	5072644	10485760	2416148	7729132	10485760	2102484	0	0	6416286	0	
15728640	15728640	5072616	5072664	10485760	1691084	8454196	10485760	2859332	1374024	0	7893010	97	
15728640	15728640	5072640	5072640	10485760	1624932	8520348	10485760	2863704	1425216	0	4606035	100	
15728640	15728640	5072628	5072652	10485760	1305568	8839712	10485760	3203384	2102484	0	3023053	100	
15728640	15728640	5072636	5072644	10485760	1594704	8550576	10485760	2877940	1477496	0	2930141	99	
15728640	15728640	5759512	4385768	11182080	1781848	8363432	10485760	3349020	1787700	0	2357864	162	
15728640	15728640	5072628	5072652	10485760	1790692	8354588	10485760	2848924	1377484	0	4027533	97	
15728640	15728640	5072632	5072648	10485760	2366324	7778956	10485760	2102856	0	0	2796354	0	
15728640	15728640	5072620	5072660	10485760	1720592	8424688	10485760	2837480	1340260	0	2489250	95	
15728640	15728640	5072640	5072640	10485760	1556084	8589196	10485760	2825636	1463628	0	2714044	99	
15728640	15728640	5759484	4385796	11182080	1288436	8856844	10485760	3912832	2789736	0	3935353	132	
15728640	15728640	5072632	5072648	10485760	1626268	8519012	10485760	2879856	1479480	0	1983825	98	
15728640	15728640	5072640	5072640	10485760	1233456	8911824	10485760	2630996	1561240	0	2034358	99	
15728640	15728640	5072640	5072640	10485760	1528160	8617120	10485760	2408936	1069724	0	1642331	99	
15728640	15728640	5072632	5072648	10485760	1691228	8454052	10485760	2794824	1299132	0	1524670	97	
15728640	15728640	5033180	5112100	10485760	1634564	8510716	10485760	2804260	1340192	0	1993508	95	
15728640	15728640	5072612	5072668	10485760	1814792	8330488	10485760	2688060	1123096	0	1846766	100	
15728640	15728640	5208204	4937076	10633216	1625140	8520140	10485760	2941076	1540848	0	3631637	103	
