b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
11010048	11010048	3550676	3551020	7340032	38788	7062908	7340032	107944	99796	0	238585	96	
11010048	11010048	3550652	3551044	7340032	4408	7097288	7340032	5572	1164	0	71925	14	
11010048	11010048	3550832	3550864	7340032	33024	7068672	7340032	8924	2784	0	82156	63	
11010048	11010048	3550812	3550884	7340032	3356	7098340	7340032	4280	924	0	46450	15	
11010048	11010048	3550832	3550864	7340032	3680	7098016	7340032	3680	0	0	44175	0	
11010048	11010048	3550740	3550956	7340032	5128	7096568	7340032	6224	1096	0	48746	29	
11010048	11010048	3550660	3551036	7340032	1920	7099776	7340032	1920	0	0	37115	0	
11010048	11010048	3550824	3550872	7340032	7224	7094472	7340032	7224	0	0	49524	0	
11010048	11010048	3550836	3550860	7340032	7100	7094596	7340032	8088	988	0	51743	13	
11010048	11010048	3550836	3550860	7340032	3960	7097736	7340032	3960	0	0	62642	0	
11010048	11010048	3550848	3550848	7340032	5080	7096616	7340032	5080	0	0	48118	0	
11010048	11010048	3550584	3551112	7340032	3856	7097840	7340032	3856	0	0	49214	0	
11010048	11010048	3550792	3550904	7340032	2792	7098904	7340032	4188	1396	0	44724	36	
11010048	11010048	3550536	3551160	7340032	3304	7098392	7340032	3304	0	0	48380	0	
