b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
17301504	17301504	5579892	5579916	11534336	1154940	10004868	11534336	1036040	73636	0	1268216	5	
17301504	17301504	5579872	5579936	11534336	833212	10326596	11534336	654592	380	0	786500	0	
17301504	17301504	5579892	5579916	11534336	217032	10942776	11534336	211052	1228	0	511777	0	
17301504	17301504	5579876	5579932	11534336	158972	11000836	11534336	128580	0	0	306417	0	
17301504	17301504	5579872	5579936	11534336	84428	11075380	11534336	127744	43316	0	341647	33	
17301504	17301504	5579840	5579968	11534336	109164	11050644	11534336	89252	1028	0	225868	1	
17301504	17301504	5579904	5579904	11534336	76276	11083532	11534336	88220	36940	0	210711	41	
17301504	17301504	5579892	5579916	11534336	1530732	9629076	11534336	1350424	37960	0	966559	74	
17301504	17301504	5579872	5579936	11534336	1156092	10003716	11534336	1037064	36940	0	879045	2	
17301504	17301504	5579892	5579916	11534336	848692	10311116	11534336	731128	36968	0	719159	3	
17301504	17301504	5579892	5579916	11534336	369228	10790580	11534336	336400	36964	0	506002	5	
17301504	17301504	5579872	5579936	11534336	141624	11018184	11534336	153796	36940	0	218401	12	
17301504	17301504	5579896	5579912	11534336	7448	11152360	11534336	44428	36980	0	171909	31	
17301504	17301504	5579860	5579948	11534336	128224	11031584	11534336	107956	0	0	232965	0	
17301504	17301504	5579892	5579916	11534336	69708	11090100	11534336	105256	37480	0	329675	34	
17301504	17301504	5579872	5579936	11534336	1587668	9572140	11534336	1377324	37708	0	982298	55	
17301504	17301504	5579892	5579916	11534336	1213056	9946752	11534336	1057088	37012	0	927094	2	
17301504	17301504	5579892	5579916	11534336	763696	10396112	11534336	671816	36940	0	624018	3	
17301504	17301504	5579872	5579936	11534336	477820	10681988	11534336	413376	36940	0	574490	5	
17301504	17301504	5579892	5579916	11534336	157184	11002624	11534336	166876	36980	0	345167	9	
17301504	17301504	5579896	5579912	11534336	93544	11066264	11534336	128964	40500	0	289692	31	
17301504	17301504	5579888	5579920	11534336	112744	11047064	11534336	92196	0	0	202262	0	
17301504	17301504	5579900	5579908	11534336	75336	11084472	11534336	90704	37176	0	210426	40	
17301504	17301504	5579892	5579916	11534336	1536612	9623196	11534336	1355776	36952	0	1016516	69	
17301504	17301504	5579892	5579916	11534336	1201928	9957880	11534336	1042276	36940	0	876436	2	
17301504	17301504	5579892	5579916	11534336	833496	10326312	11534336	719856	36940	0	799526	3	
17301504	17301504	5579892	5579916	11534336	361788	10798020	11534336	325636	36940	0	416095	5	
17301504	17301504	5579892	5579916	11534336	136884	11022924	11534336	149776	36940	0	206873	12	
17301504	17301504	5579888	5579920	11534336	90936	11068872	11534336	131436	40500	0	341908	35	
17301504	17301504	5579896	5579912	11534336	116584	11043224	11534336	103444	7524	0	222666	8	
17301504	17301504	5579896	5579912	11534336	76656	11083152	11534336	94704	36940	0	216221	38	
17301504	17301504	5579892	5579916	11534336	1588120	9571688	11534336	1365872	37888	0	1027347	65	
17301504	17301504	5579904	5579904	11534336	1190368	9969440	11534336	1032868	36940	0	861048	2	
17301504	17301504	5579872	5579936	11534336	840216	10319592	11534336	725536	37012	0	752771	3	
17301504	17301504	5579892	5579916	11534336	342148	10817660	11534336	313344	44368	0	509850	6	
17301504	17301504	5579892	5579916	11534336	153124	11006684	11534336	165876	36940	0	275494	13	
17301504	17301504	5579900	5579908	11534336	96828	11062980	11534336	129452	40500	0	235967	31	
17301504	17301504	5579880	5579928	11534336	113104	11046704	11534336	92520	0	0	190753	0	
17301504	17301504	5579904	5579904	11534336	75356	11084452	11534336	90756	36940	0	208347	39	
17301504	17301504	5579892	5579916	11534336	1542632	9617176	11534336	1357236	36952	0	1101462	68	
17301504	17301504	5579892	5579916	11534336	1191148	9968660	11534336	1040216	36940	0	833040	2	
17301504	17301504	5579892	5579916	11534336	860576	10299232	11534336	721876	36940	0	697526	3	
17301504	17301504	5579892	5579916	11534336	339620	10820188	11534336	309216	36940	0	407365	5	
17301504	17301504	5579892	5579916	11534336	138324	11021484	11534336	151216	36940	0	211405	13	
17301504	17301504	5579888	5579920	11534336	91788	11068020	11534336	132288	40500	0	310316	35	
17301504	17301504	5579904	5579904	11534336	116604	11043204	11534336	95948	0	0	195511	0	
17301504	17301504	5579852	5579956	11534336	76436	11083372	11534336	94572	36940	0	206628	38	
17301504	17301504	5579892	5579916	11534336	1524592	9635216	11534336	1365756	36952	0	976182	64	
17301504	17301504	5579892	5579916	11534336	1167900	9991908	11534336	1051196	36940	0	872009	2	
17301504	17301504	5579892	5579916	11534336	785056	10374752	11534336	695816	36940	0	718528	3	
17301504	17301504	5579892	5579916	11534336	459860	10699948	11534336	420156	36940	0	588465	5	
17301504	17301504	5579872	5579936	11534336	150724	11009084	11534336	163496	36940	0	233377	9	
17301504	17301504	5579904	5579904	11534336	5572	11154236	11534336	42512	36940	0	141941	29	
17301504	17301504	5579852	5579956	11534336	129084	11030724	11534336	108768	5520	0	222620	99	
17301504	17301504	5579892	5579916	11534336	75576	11084232	11534336	101004	33060	0	196963	32	
17301504	17301504	5579892	5579916	11534336	1589208	9570600	11534336	1377616	36952	0	958260	54	
17301504	17301504	5579892	5579916	11534336	1202348	9957460	11534336	1057356	36940	0	899198	2	
17301504	17301504	5579892	5579916	11534336	775456	10384352	11534336	681456	36940	0	654266	3	
17301504	17301504	5579892	5579916	11534336	417824	10741984	11534336	412816	36940	0	600332	5	
17301504	17301504	5579872	5579936	11534336	162384	10997424	11534336	175336	36940	0	256955	9	
17301504	17301504	5579900	5579908	11534336	33088	11126720	11534336	63612	36940	0	174233	26	
17301504	17301504	5579896	5579912	11534336	81356	11078452	11534336	107976	26620	0	260400	99	
17301504	17301504	5579884	5579924	11534336	76336	11083472	11534336	86876	13200	0	154872	16	
17301504	17301504	5579892	5579916	11534336	1605748	9554060	11534336	1390896	36952	0	917829	50	
17301504	17301504	5579892	5579916	11534336	1129672	10030136	11534336	1002576	36940	0	841534	2	
17301504	17301504	5579892	5579916	11534336	848372	10311436	11534336	737336	36940	0	862206	3	
17301504	17301504	5579892	5579916	11534336	482260	10677548	11534336	432196	36940	0	545590	5	
17301504	17301504	5579872	5579936	11534336	146304	11013504	11534336	158556	36940	0	229167	9	
17301504	17301504	5579888	5579920	11534336	2332	11157476	11534336	39272	36940	0	137017	30	
17301504	17301504	5579852	5579956	11534336	129084	11030724	11534336	108768	2280	0	227343	97	
17301504	17301504	5579892	5579916	11534336	75576	11084232	11534336	103364	35420	0	248398	33	
17301504	17301504	5579892	5579916	11534336	1590468	9569340	11534336	1377616	36952	0	909233	54	
17301504	17301504	5579892	5579916	11534336	1204868	9954940	11534336	1056316	36940	0	908387	2	
17301504	17301504	5579892	5579916	11534336	735292	10424516	11534336	677976	36940	0	623797	3	
17301504	17301504	5579892	5579916	11534336	450844	10708964	11534336	442176	36940	0	627167	5	
17301504	17301504	5579892	5579916	11534336	164244	10995564	11534336	177616	36940	0	354104	9	
17301504	17301504	5579900	5579908	11534336	32988	11126820	11534336	65372	36940	0	195244	26	
17301504	17301504	5579888	5579920	11534336	79688	11080120	11534336	108068	28380	0	260807	99	
17301504	17301504	5579896	5579912	11534336	75976	11083832	11534336	85260	11600	0	151315	14	
17301504	17301504	5579892	5579916	11534336	1590368	9569440	11534336	1392056	36952	0	1001094	50	
17301504	17301504	5579892	5579916	11534336	1191768	9968040	11534336	1018376	36940	0	618048	2	
17301504	17301504	5579872	5579936	11534336	806924	10352884	11534336	721216	36940	0	767884	3	
17301504	17301504	5579892	5579916	11534336	435636	10724172	11534336	430896	36940	0	510001	5	
17301504	17301504	5579872	5579936	11534336	165204	10994604	11534336	178036	36940	0	262842	9	
17301504	17301504	5579896	5579912	11534336	28732	11131076	11534336	65672	36940	0	195706	26	
17301504	17301504	5579852	5579956	11534336	80088	11079720	11534336	108768	28680	0	262635	99	
17301504	17301504	5579860	5579948	11534336	76316	11083492	11534336	85868	11340	0	150700	14	
17301504	17301504	5579892	5579916	11534336	1564740	9595068	11534336	1386876	36952	0	932720	49	
17301504	17301504	5579872	5579936	11534336	1208268	9951540	11534336	1040936	36940	0	879951	2	
17301504	17301504	5579872	5579936	11534336	860000	10299808	11534336	725336	36940	0	824747	3	
17301504	17301504	5579892	5579916	11534336	440664	10719144	11534336	399216	36940	0	480385	5	
17301504	17301504	5579872	5579936	11534336	145904	11013904	11534336	158556	36940	0	226490	10	
17301504	17301504	5579896	5579912	11534336	32948	11126860	11534336	39672	36940	0	158156	30	
17301504	17301504	5579856	5579952	11534336	125304	11034504	11534336	105048	2680	0	213320	98	
17301504	17301504	5579884	5579924	11534336	74696	11085112	11534336	98816	35140	0	206339	34	
17301504	17301504	5579892	5579916	11534336	1542212	9617596	11534336	1361856	36952	0	930251	58	
17301504	17301504	5579892	5579916	11534336	1195128	9964680	11534336	1040616	37540	0	748760	2	
17301504	17301504	5579892	5579916	11534336	812456	10347352	11534336	703356	36940	0	759686	3	
17301504	17301504	5579892	5579916	11534336	428696	10731112	11534336	406296	36940	0	585193	5	
17301504	17301504	5579892	5579916	11534336	159244	11000564	11534336	172256	36940	0	247173	10	
17301504	17301504	5579900	5579908	11534336	10332	11149476	11534336	47272	36940	0	168147	27	
17301504	17301504	5579852	5579956	11534336	129004	11030804	11534336	108768	10280	0	281356	99	
17301504	17301504	5579868	5579940	11534336	75796	11084012	11534336	96748	28620	0	189054	29	
17301504	17301504	5579892	5579916	11534336	1571000	9588808	11534336	1377568	37504	0	919815	55	
17301504	17301504	5579872	5579936	11534336	1187228	9972580	11534336	1037936	36940	0	778453	2	
17301504	17301504	5579892	5579916	11534336	792996	10366812	11534336	705796	36940	0	689754	3	
17301504	17301504	5579872	5579936	11534336	515264	10644544	11534336	425116	36940	0	586012	5	
17301504	17301504	5579896	5579912	11534336	153704	11006104	11534336	166416	36940	0	237385	9	
17301504	17301504	5579844	5579964	11534336	89680	11070128	11534336	125584	40500	0	220365	31	
17301504	17301504	5579860	5579948	11534336	110864	11048944	11534336	89848	0	0	184910	0	
17301504	17301504	5579884	5579924	11534336	74936	11084872	11534336	88364	36940	0	205439	41	
17301504	17301504	5579892	5579916	11534336	1489148	9670660	11534336	1352916	36952	0	1053555	71	
17301504	17301504	5579892	5579916	11534336	1189528	9970280	11534336	1050096	36940	0	1012508	2	
17301504	17301504	5579892	5579916	11534336	774676	10385132	11534336	677476	36940	0	580761	3	
17301504	17301504	5579892	5579916	11534336	441928	10717880	11534336	410296	36940	0	529981	5	
17301504	17301504	5579892	5579916	11534336	154924	11004884	11534336	167376	36940	0	241550	9	
17301504	17301504	5579900	5579908	11534336	6172	11153636	11534336	43112	36940	0	141257	28	
