b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
18874368	18874368	6087076	6087260	12582912	33340	12140996	12582912	37248	36556	0	159943	97	
18874368	18874368	6087076	6087260	12582912	636	12173700	12582912	692	56	0	76621	8	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	69390	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	71684	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	75112	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	75295	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	74136	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	73546	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	72835	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	102587	0	
18874368	18874368	6087168	6087168	12582912	932	12173404	12582912	932	0	0	72503	0	
