b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
26738688	26738688	8623488	8623488	17825792	34616	17212360	17825792	384448	381796	0	560510	99	
26738688	26738688	8623488	8623488	17825792	47272	17199704	17825792	27156	708	0	201219	26	
26738688	26738688	8623488	8623488	17825792	135332	17111644	17825792	36068	24744	0	255073	93	
26738688	26738688	8623488	8623488	17825792	39524	17207452	17825792	19952	10680	0	180254	94	
26738688	26738688	8623488	8623488	17825792	35312	17211664	17825792	12632	8460	0	147358	91	
26738688	26738688	8623480	8623496	17825792	405440	16841536	17825792	331436	2932	0	663222	70	
26738688	26738688	8623488	8623488	17825792	453784	16793192	17825792	339780	5204	0	552162	1	
26738688	26738688	8623480	8623496	17825792	454092	16792884	17825792	339244	12076	0	688041	3	
26738688	26738688	8623488	8623488	17825792	821836	16425140	17825792	661212	2392	0	578524	0	
26738688	26738688	8623480	8623496	17825792	391536	16855440	17825792	339464	9916	0	521543	1	
26738688	26738688	8623472	8623504	17825792	769248	16477728	17825792	656312	7808	0	646781	2	
26738688	26738688	8623488	8623488	17825792	802748	16444228	17825792	622100	7064	0	515555	1	
26738688	26738688	8623480	8623496	17825792	641600	16605376	17825792	561296	4828	0	545994	0	
26738688	26738688	8623488	8623488	17825792	865464	16381512	17825792	645404	928	0	443128	0	
26738688	26738688	8623448	8623528	17825792	797548	16449428	17825792	627036	4164	0	509079	0	
26738688	26738688	8623488	8623488	17825792	826464	16420512	17825792	640920	824	0	440654	0	
26738688	26738688	8623488	8623488	17825792	801864	16445112	17825792	641300	0	0	465192	0	
26738688	26738688	8623480	8623496	17825792	826592	16420384	17825792	642988	0	0	581980	0	
26738688	26738688	8623484	8623492	17825792	798092	16448884	17825792	642980	1672	0	510240	0	
26738688	26738688	8623472	8623504	17825792	795816	16451160	17825792	642712	0	0	539833	0	
26738688	26738688	8623480	8623496	17825792	799628	16447348	17825792	644616	1416	0	566388	0	
26738688	26738688	8623464	8623512	17825792	866152	16380824	17825792	648928	1904	0	678936	0	
26738688	26738688	8623480	8623496	17825792	880704	16366272	17825792	647124	0	0	629170	0	
26738688	26738688	8623480	8623496	17825792	809476	16437500	17825792	647148	56	0	564646	0	
26738688	26738688	8623480	8623496	17825792	799024	16447952	17825792	647080	0	0	537538	0	
26738688	26738688	8623460	8623516	17825792	768076	16478900	17825792	647084	0	0	455610	0	
26738688	26738688	8623476	8623500	17825792	814444	16432532	17825792	647896	28	0	480629	0	
26738688	26738688	8623488	8623488	17825792	440240	16806736	17825792	321808	564	0	491229	0	
26738688	26738688	8623480	8623496	17825792	418016	16828960	17825792	326460	0	0	443632	0	
26738688	26738688	8623472	8623504	17825792	831436	16415540	17825792	619356	0	0	476829	0	
26738688	26738688	8623480	8623496	17825792	776744	16470232	17825792	639860	0	0	492550	0	
26738688	26738688	8623472	8623504	17825792	866220	16380756	17825792	641336	0	0	484819	0	
26738688	26738688	8623480	8623496	17825792	827136	16419840	17825792	641308	0	0	428919	0	
26738688	26738688	8623488	8623488	17825792	827752	16419224	17825792	641308	0	0	437102	0	
26738688	26738688	8623480	8623496	17825792	828344	16418632	17825792	641444	0	0	434838	0	
26738688	26738688	8623476	8623500	17825792	809000	16437976	17825792	641604	0	0	447561	0	
26738688	26738688	8623484	8623492	17825792	835012	16411964	17825792	647236	0	0	424448	0	
26738688	26738688	8623480	8623496	17825792	844444	16402532	17825792	647080	0	0	499170	0	
