b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
14155776	14155776	4565376	4565376	9437184	42112	9088640	9437184	63620	49156	0	238273	67	
14155776	14155776	4565364	4565388	9437184	12960	9117792	9437184	17864	4904	0	67806	33	
14155776	14155776	4565344	4565408	9437184	14188	9116564	9437184	14188	0	0	58048	0	
14155776	14155776	4565376	4565376	9437184	5040	9125712	9437184	5040	0	0	48141	0	
14155776	14155776	4565088	4565664	9437184	32464	9098288	9437184	32464	0	0	91991	0	
14155776	14155776	4565316	4565436	9437184	5484	9125268	9437184	5484	0	0	53039	0	
14155776	14155776	4565328	4565424	9437184	15112	9115640	9437184	16256	1144	0	68289	20	
14155776	14155776	4565340	4565412	9437184	1556	9129196	9437184	2504	948	0	45173	6	
14155776	14155776	4565372	4565380	9437184	32084	9098668	9437184	32084	0	0	86207	0	
14155776	14155776	4565316	4565436	9437184	5100	9125652	9437184	5100	0	0	48759	0	
14155776	14155776	4565364	4565388	9437184	15136	9115616	9437184	15136	0	0	62756	0	
14155776	14155776	4565328	4565424	9437184	3656	9127096	9437184	4604	948	0	47720	6	
14155776	14155776	4564944	4565808	9437184	32432	9098320	9437184	32432	0	0	80760	0	
14155776	14155776	4565328	4565424	9437184	5308	9125444	9437184	5308	0	0	45945	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14572	384	0	60171	7	
14155776	14155776	4565328	4565424	9437184	3656	9127096	9437184	3656	0	0	41458	0	
14155776	14155776	4565372	4565380	9437184	42708	9088044	9437184	31372	0	0	97845	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14188	0	0	57887	0	
14155776	14155776	4565328	4565424	9437184	5616	9125136	9437184	5616	0	0	44186	0	
14155776	14155776	4565372	4565380	9437184	31540	9099212	9437184	31540	0	0	79844	0	
14155776	14155776	4565316	4565436	9437184	6676	9124076	9437184	6844	168	0	50340	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14188	0	0	57374	0	
14155776	14155776	4565328	4565424	9437184	4076	9126676	9437184	4076	0	0	41153	0	
14155776	14155776	4565372	4565380	9437184	31372	9099380	9437184	31372	0	0	77073	0	
14155776	14155776	4565356	4565396	9437184	6796	9123956	9437184	6796	0	0	45857	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14188	0	0	56165	0	
14155776	14155776	4565340	4565412	9437184	4356	9126396	9437184	4356	0	0	39859	0	
14155776	14155776	4565372	4565380	9437184	31372	9099380	9437184	31372	0	0	75064	0	
14155776	14155776	4565316	4565436	9437184	6676	9124076	9437184	6676	0	0	43677	0	
14155776	14155776	4565364	4565388	9437184	14188	9116564	9437184	14188	0	0	55031	0	
14155776	14155776	4565328	4565424	9437184	4216	9126536	9437184	4216	0	0	39850	0	
14155776	14155776	4564944	4565808	9437184	32432	9098320	9437184	32432	0	0	75743	0	
14155776	14155776	4565316	4565436	9437184	5216	9125536	9437184	5216	0	0	42477	0	
14155776	14155776	4565352	4565400	9437184	14404	9116348	9437184	14404	0	0	59939	0	
14155776	14155776	4565328	4565424	9437184	3516	9127236	9437184	3732	216	0	45218	1	
14155776	14155776	4565040	4565712	9437184	32432	9098320	9437184	32432	0	0	76309	0	
14155776	14155776	4565316	4565436	9437184	5392	9125360	9437184	5392	0	0	42745	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14188	0	0	54599	0	
14155776	14155776	4565328	4565424	9437184	4076	9126676	9437184	4076	0	0	40915	0	
14155776	14155776	4565372	4565380	9437184	31372	9099380	9437184	31372	0	0	75138	0	
14155776	14155776	4565356	4565396	9437184	6796	9123956	9437184	6796	0	0	44144	0	
14155776	14155776	4565352	4565400	9437184	14188	9116564	9437184	14188	0	0	54207	0	
14155776	14155776	4565340	4565412	9437184	4356	9126396	9437184	4356	0	0	41326	0	
14155776	14155776	4565372	4565380	9437184	31372	9099380	9437184	31372	0	0	76012	0	
14155776	14155776	4565316	4565436	9437184	6676	9124076	9437184	6676	0	0	43234	0	
