b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
36175872	36175872	11802648	11531496	12206080	5465764	17868380	24117248	4961836	135576	0	10325986	0	
36175872	36175872	11667028	11667116	12058624	5715888	17618256	24117248	5057324	0	0	8306809	0	
36175872	36175872	11870484	11463660	24330240	2987028	20347116	24117248	7599104	5003904	0	5906877	104	
36175872	36175872	11667064	11667080	12058624	5686876	17647268	24117248	5041044	0	0	7633095	0	
36175872	36175872	11870492	11463652	24330240	2962336	20371808	24117248	7603288	5028180	0	6801822	104	
36175872	36175872	11972268	11361876	24432640	4058392	19275752	24117248	6497312	2900408	0	8735727	111	
36175872	36175872	11972276	11361868	24432640	4100164	19233980	24117248	6488040	2880316	0	3828461	111	
36175872	36175872	11667060	11667084	24117248	2923600	20410544	24117248	7553080	5014060	0	6529319	99	
36175872	36175872	12124948	11209196	24584192	3557180	19776964	24117248	7208216	4054740	0	6096200	112	
36175872	36175872	11667056	11667088	24117248	2890548	20443596	24117248	7547404	4997348	0	10392928	99	
36175872	36175872	12124948	11209196	24584192	3618312	19715832	24117248	7198292	4065600	0	13707798	112	
36175872	36175872	12353952	10980192	24813568	3772144	19562000	24117248	7197688	3840356	0	6318310	121	
36175872	36175872	11667064	11667080	24117248	4131984	19202160	24117248	6139108	2498940	0	5146432	98	
36175872	36175872	12353952	10980192	24813568	3840596	19493548	24117248	7155968	3819572	0	3882370	121	
36175872	36175872	11667064	11667080	24117248	4163840	19170304	24117248	6171808	2509936	0	5603308	98	
36175872	36175872	11666004	11668140	24117248	3496980	19837164	24117248	6751368	3640168	0	4518773	100	
36175872	36175872	11667052	11667092	24117248	3617648	19716496	24117248	6759416	3660432	0	4326987	99	
36175872	36175872	11667048	11667096	24117248	3497356	19836788	24117248	6449788	3357212	0	4740621	99	
36175872	36175872	11667064	11667080	24117248	3188488	20145656	24117248	6157128	3336396	0	3077733	100	
36175872	36175872	11667036	11667108	24117248	3841448	19492696	24117248	6481144	3093460	0	8748042	99	
36175872	36175872	11802640	11531504	24264704	3854452	19479692	24117248	6508572	3187460	0	7059073	103	
36175872	36175872	11667072	11667072	24117248	3749076	19585068	24117248	6414112	3072308	0	5999000	99	
36175872	36175872	11802640	11531504	24264704	3915840	19418304	24117248	6365208	2915892	0	3604156	103	
36175872	36175872	12175700	11158444	24645632	3655136	19679008	24117248	6863032	3626300	0	4318723	109	
36175872	36175872	11667072	11667072	24117248	3692688	19641456	24117248	6617848	3327500	0	8773896	98	
36175872	36175872	12175700	11158444	24645632	3619744	19714400	24117248	6965500	3754524	0	14636031	108	
36175872	36175872	11667064	11667080	24117248	3773708	19560436	24117248	6604864	3281620	0	18995484	98	
36175872	36175872	12124920	11209224	24584192	5425168	17908976	24117248	5289056	457876	0	5763729	0	
36175872	36175872	11667072	11667072	24117248	3465880	19868264	24117248	6333184	3290348	0	5252079	100	
36175872	36175872	12124944	11209200	24584192	5402548	17931596	24117248	5291420	457876	0	8162940	0	
36175872	36175872	11667068	11667076	24117248	2926980	20407164	24117248	7429632	4833544	0	5214750	100	
36175872	36175872	11667068	11667076	24117248	3044372	20289772	24117248	7417176	4831180	0	9370881	100	
36175872	36175872	11667056	11667088	24117248	3655580	19678564	24117248	6576940	3323244	0	7756282	100	
36175872	36175872	12353948	10980196	24813568	3658156	19675988	24117248	6539280	3282968	0	6491381	126	
36175872	36175872	12353944	10980200	24813568	4004300	19329844	24117248	6834292	3272776	0	7649459	126	
36175872	36175872	11667060	11667084	24117248	5458352	17875792	24117248	4849116	0	0	2625171	0	
36175872	36175872	11802624	11531520	24264704	3463708	19870436	24117248	6760280	3679352	0	6984183	103	
36175872	36175872	11802648	11531496	24264704	3691640	19642504	24117248	6602528	3380104	0	7146371	103	
36175872	36175872	11667068	11667076	24117248	3052900	20281244	24117248	7412804	4808976	0	4232148	99	
36175872	36175872	11870484	11463660	24330240	3870316	19463828	24117248	6683452	3284356	0	7374410	106	
36175872	36175872	11870492	11463652	24330240	3751492	19582652	24117248	6732080	3425852	0	8079826	106	
36175872	36175872	11667060	11667084	24117248	5526012	17808132	24117248	4866576	0	0	3311412	0	
36175872	36175872	11972272	11361872	24432640	3637724	19696420	24117248	6931496	3704304	0	5288973	108	
36175872	36175872	11972268	11361876	24432640	3721752	19612392	24117248	6890140	3611436	0	6885774	109	
36175872	36175872	11667072	11667072	24117248	4125760	19208384	24117248	6153888	2563688	0	10233645	98	
36175872	36175872	11667064	11667080	24117248	2954164	20379980	24117248	7399332	4806312	0	9752847	98	
36175872	36175872	12124948	11209196	24584192	3723124	19611020	24117248	7007328	3684988	0	16131025	114	
36175872	36175872	12124944	11209200	24584192	5429972	17904172	24117248	5286308	457876	0	5897334	0	
36175872	36175872	12353944	10980200	24813568	3722408	19611736	24117248	7295784	4009220	0	4826458	120	
36175872	36175872	11667072	11667072	24117248	3654956	19679188	24117248	6702824	3587956	0	3988387	99	
36175872	36175872	12353936	10980208	24813568	2990092	20344052	24117248	8100464	5515292	0	4521316	114	
36175872	36175872	11667072	11667072	24117248	3872692	19461452	24117248	6419064	3088172	0	5313433	99	
36175872	36175872	11667056	11667088	24117248	3750536	19583608	24117248	6565492	3286564	0	6680185	100	
36175872	36175872	11802648	11531496	24264704	3936156	19397988	24117248	6204852	2720648	0	8754954	105	
36175872	36175872	11667060	11667084	24117248	4175544	19158600	24117248	6183872	2532816	0	4366495	97	
36175872	36175872	12006072	11328072	24477696	3717756	19616388	24117248	6661532	3422132	0	4158597	104	
36175872	36175872	11870496	11463648	24330240	3622372	19711772	24117248	6887332	3687552	0	12402970	105	
36175872	36175872	11667068	11667076	24117248	3689252	19644892	24117248	6545232	3270668	0	8967056	98	
36175872	36175872	11972276	11361868	24432640	3698952	19635192	24117248	6837828	3504988	0	14265505	109	
36175872	36175872	11667072	11667072	24117248	3439392	19894752	24117248	6740820	3624260	0	15711312	99	
36175872	36175872	11667064	11667080	24117248	3669304	19664840	24117248	6570752	3274444	0	5561583	99	
36175872	36175872	12124940	11209204	24584192	3715124	19619020	24117248	7085792	3790656	0	7535225	113	
36175872	36175872	11667072	11667072	24117248	3977256	19356888	24117248	6510360	3076480	0	4302055	98	
36175872	36175872	12124948	11209196	24584192	5408284	17925860	24117248	5292536	457876	0	7823819	0	
36175872	36175872	11667068	11667076	24117248	3809388	19524756	24117248	6600024	3269612	0	7186263	99	
36175872	36175872	12353924	10980220	24813568	5371876	17962268	24117248	5517684	686880	0	8831515	0	
