b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
17301504	17301504	5577700	5582108	11534336	1562988	9596820	11534336	3711820	2476880	0	865527	99	
17301504	17301504	5501608	5658200	11534336	2106780	9053028	11534336	3008144	1226108	0	645015	99	
17301504	17301504	5501404	5658404	11534336	1845064	9314744	11534336	3283656	1773372	0	658590	99	
17301504	17301504	5509252	5650556	11534336	1947968	9211840	11534336	3151572	1501644	0	622978	99	
17301504	17301504	5533472	5626336	11534336	2098508	9061300	11534336	3285652	1641276	0	747991	99	
17301504	17301504	5501440	5658368	11534336	1810260	9349548	11534336	3143724	1635724	0	711818	99	
17301504	17301504	5509984	5649824	11534336	2868012	8291796	11534336	2380788	0	0	458006	0	
17301504	17301504	5505328	5654480	11534336	1401384	9758424	11534336	3562992	2372132	0	839793	99	
17301504	17301504	5505124	5654684	11534336	2221232	8938576	11534336	2969868	1094984	0	716732	91	
17301504	17301504	5575968	5583840	11534336	1738620	9421188	11534336	3293188	1779008	0	654594	94	
17301504	17301504	5509660	5650148	11534336	1996464	9163344	11534336	3163036	1505524	0	680020	99	
17301504	17301504	5509816	5649992	11534336	2795664	8364144	11534336	2380404	0	0	513041	0	
17301504	17301504	5534156	5625652	11534336	1427544	9732264	11534336	3611832	2371752	0	896147	99	
17301504	17301504	5514944	5644864	11534336	2095200	9064608	11534336	3018608	1231440	0	670359	99	
17301504	17301504	5545488	5614320	11534336	1810140	9349668	11534336	3292208	1778496	0	997921	99	
17301504	17301504	5537176	5622632	11534336	1945604	9214204	11534336	3161584	1505060	0	713688	99	
17301504	17301504	5504960	5654848	11534336	1920188	9239620	11534336	3248636	1647872	0	759363	99	
17301504	17301504	5553876	5605932	11534336	1952988	9206820	11534336	3155224	1504888	0	661681	94	
17301504	17301504	5505576	5654232	11534336	1946844	9212964	11534336	3242932	1641684	0	912163	99	
17301504	17301504	5509756	5650052	11534336	3076664	8083144	11534336	2379700	0	0	443645	0	
17301504	17301504	5536548	5623260	11534336	1405328	9754480	11534336	3474512	2371048	0	940645	99	
17301504	17301504	5509756	5650052	11534336	2100324	9059484	11534336	2882488	1094824	0	660128	99	
17301504	17301504	5550900	5608908	11534336	1779496	9380312	11534336	3293192	1779012	0	866238	99	
17301504	17301504	5509756	5650052	11534336	1976608	9183200	11534336	3164316	1505524	0	758219	99	
17301504	17301504	5505508	5654300	11534336	1939320	9220488	11534336	3252376	1650152	0	791887	99	
17301504	17301504	5573204	5586604	11534336	1980668	9179140	11534336	3157988	1506332	0	807953	94	
17301504	17301504	5504880	5654928	11534336	1988112	9171696	11534336	3244420	1643016	0	746182	99	
17301504	17301504	5552372	5607436	11534336	1972132	9187676	11534336	3155892	1505528	0	631567	94	
17301504	17301504	5505032	5654776	11534336	1950952	9208856	11534336	3242992	1641724	0	688301	99	
17301504	17301504	5521496	5638312	11534336	2068156	9091652	11534336	3156532	1505376	0	697503	94	
17301504	17301504	5516104	5643704	11534336	1712060	9447748	11534336	3158004	1642504	0	707484	99	
17301504	17301504	5565140	5594668	11534336	3044872	8114936	11534336	2474968	0	0	520189	0	
17301504	17301504	5509672	5650136	11534336	1400320	9759488	11534336	3569428	2466316	0	888517	99	
17301504	17301504	5509624	5650184	11534336	2095724	9064084	11534336	2881604	1094460	0	688756	99	
17301504	17301504	5546120	5613688	11534336	1808424	9351384	11534336	3292824	1778504	0	862330	99	
17301504	17301504	5536704	5623104	11534336	2033220	9126588	11534336	3163172	1505648	0	795857	99	
17301504	17301504	5505484	5654324	11534336	2032436	9127372	11534336	3250132	1648872	0	740752	99	
17301504	17301504	5521784	5638024	11534336	2030000	9129808	11534336	3156408	1505384	0	662210	94	
17301504	17301504	5505724	5654084	11534336	1941680	9218128	11534336	3244104	1642384	0	696279	99	
17301504	17301504	5575744	5584064	11534336	2063612	9096196	11534336	3156700	1505824	0	771281	94	
17301504	17301504	5509864	5649944	11534336	1821636	9338172	11534336	3156600	1642212	0	698688	99	
17301504	17301504	5551556	5608252	11534336	1912272	9247536	11534336	3156600	1505724	0	781228	99	
17301504	17301504	5572584	5587224	11534336	2050116	9109692	11534336	3293108	1642216	0	777339	99	
17301504	17301504	5509876	5649932	11534336	1887092	9272716	11534336	3155928	1642232	0	791956	99	
17301504	17301504	5546900	5612908	11534336	2031856	9127952	11534336	3155132	1505032	0	776774	99	
17301504	17301504	5505276	5654532	11534336	1886608	9273200	11534336	3242428	1641440	0	708667	99	
17301504	17301504	5520960	5638848	11534336	1978712	9181096	11534336	3155500	1505108	0	828524	94	
17301504	17301504	5505336	5654472	11534336	1975320	9184488	11534336	3242692	1641744	0	776710	99	
17301504	17301504	5539680	5620128	11534336	1979488	9180320	11534336	3155820	1505056	0	755963	94	
17301504	17301504	5505384	5654424	11534336	2042020	9117788	11534336	3246500	1642100	0	1617756	99	
17301504	17301504	5509864	5649944	11534336	2868964	8290844	11534336	2379788	0	0	543321	0	
17301504	17301504	5505620	5654188	11534336	1370460	9789348	11534336	3562004	2371124	0	847291	99	
17301504	17301504	5564052	5595756	11534336	2370768	8789040	11534336	3020176	1094996	0	724304	91	
17301504	17301504	5539596	5620212	11534336	1720256	9439552	11534336	3293792	1916516	0	731395	99	
17301504	17301504	5510076	5649732	11534336	1957808	9202000	11534336	3026008	1368628	0	698037	99	
17301504	17301504	5505312	5654496	11534336	1898900	9260908	11534336	3250640	1648704	0	785012	99	
17301504	17301504	5531080	5628728	11534336	1918092	9241716	11534336	3157268	1506056	0	689471	94	
17301504	17301504	5577824	5581984	11534336	1906936	9252872	11534336	3293924	1642548	0	816937	99	
17301504	17301504	5567344	5592464	11534336	1910948	9248860	11534336	3293600	1642728	0	810471	99	
17301504	17301504	5571112	5588696	11534336	1958972	9200836	11534336	3292936	1642224	0	717474	99	
17301504	17301504	5505172	5654636	11534336	1952460	9207348	11534336	3243764	1642048	0	730989	99	
17301504	17301504	5521732	5638076	11534336	1946952	9212856	11534336	3156900	1505836	0	803848	94	
17301504	17301504	5505540	5654268	11534336	1895056	9264752	11534336	3243744	1642416	0	741799	99	
17301504	17301504	5527044	5632764	11534336	1933884	9225924	11534336	3156032	1505448	0	832924	94	
17301504	17301504	5519344	5640464	11534336	1968028	9191780	11534336	3292688	1641920	0	859490	99	
17301504	17301504	5505168	5654640	11534336	2030788	9129020	11534336	3243212	1642120	0	746685	99	
17301504	17301504	5520424	5639384	11534336	2031304	9128504	11534336	3156096	1505212	0	810455	94	
17301504	17301504	5505104	5654704	11534336	2034796	9125012	11534336	3243360	1642236	0	810687	99	
17301504	17301504	5523612	5636196	11534336	1946392	9213416	11534336	3156680	1505244	0	796432	94	
17301504	17301504	5505548	5654260	11534336	1943904	9215904	11534336	3243760	1642776	0	801706	99	
17301504	17301504	5578416	5581392	11534336	1921592	9238216	11534336	3156628	1505088	0	878134	94	
17301504	17301504	5507680	5652128	11534336	1968452	9191356	11534336	3294584	1642864	0	934773	99	
17301504	17301504	5505232	5654576	11534336	1954644	9205164	11534336	3244316	1643048	0	851332	99	
17301504	17301504	5521600	5638208	11534336	1998784	9161024	11534336	3156044	1505360	0	988968	94	
17301504	17301504	5505208	5654600	11534336	2033464	9126344	11534336	3242996	1642036	0	751843	99	
17301504	17301504	5522508	5637300	11534336	1980540	9179268	11534336	3155632	1505076	0	698822	94	
17301504	17301504	5505180	5654628	11534336	1965112	9194696	11534336	3242872	1641896	0	838408	99	
17301504	17301504	5528968	5630840	11534336	2071180	9088628	11534336	3158912	1505116	0	2010943	94	
17301504	17301504	5509876	5649932	11534336	3175836	7983972	11534336	2379772	0	0	726660	0	
17301504	17301504	5567712	5592096	11534336	1401136	9758672	11534336	3474420	2371100	0	789259	99	
17301504	17301504	5509852	5649956	11534336	2231224	8928584	11534336	2882192	1094660	0	799672	99	
17301504	17301504	5536860	5622948	11534336	1909064	9250744	11534336	3292908	1778872	0	894458	99	
17301504	17301504	5485820	5673988	11534336	2062312	9097496	11534336	3112520	1505388	0	672466	99	
17301504	17301504	5551572	5608236	11534336	1953836	9205972	11534336	3161648	1511252	0	715215	94	
17301504	17301504	5505188	5654620	11534336	2050980	9108828	11534336	3242864	1641732	0	988012	99	
17301504	17301504	5540308	5619500	11534336	1976440	9183368	11534336	3155672	1505248	0	910240	94	
17301504	17301504	5505300	5654508	11534336	1884160	9275648	11534336	3242900	1641760	0	752027	99	
17301504	17301504	5516152	5643656	11534336	2050200	9109608	11534336	3156296	1505248	0	986767	94	
17301504	17301504	5510016	5649792	11534336	1917308	9242500	11534336	3156752	1642388	0	761577	99	
17301504	17301504	5576964	5582844	11534336	1920744	9239064	11534336	3155960	1505704	0	752563	99	
17301504	17301504	5507188	5652620	11534336	1913232	9246576	11534336	3291984	1641596	0	820142	99	
17301504	17301504	5573276	5586532	11534336	2063272	9096536	11534336	3292272	1641728	0	835033	99	
17301504	17301504	5509840	5649968	11534336	1858368	9301440	11534336	3155468	1641884	0	729178	99	
17301504	17301504	5521580	5638228	11534336	1926676	9233132	11534336	3155496	1504936	0	919503	99	
17301504	17301504	5517060	5642748	11534336	1910012	9249796	11534336	3292596	1641884	0	812636	99	
17301504	17301504	5570016	5589792	11534336	1943864	9215944	11534336	3292952	1642052	0	769907	99	
17301504	17301504	5505744	5654064	11534336	1907536	9252272	11534336	3244292	1642216	0	889786	99	
17301504	17301504	5539940	5619868	11534336	1941936	9217872	11534336	3157128	1506196	0	877450	94	
17301504	17301504	5505164	5654644	11534336	1909564	9250244	11534336	3243704	1642272	0	770857	99	
17301504	17301504	5543464	5616344	11534336	1950204	9209604	11534336	3156424	1505552	0	781081	94	
17301504	17301504	5505468	5654340	11534336	1943296	9216512	11534336	3243200	1642224	0	820841	99	
17301504	17301504	5577492	5582316	11534336	1972136	9187672	11534336	3155508	1505096	0	733818	94	
17301504	17301504	5505512	5654296	11534336	1872752	9287056	11534336	3243044	1641748	0	825453	99	
17301504	17301504	5509864	5649944	11534336	2042476	9117332	11534336	3156308	1505412	0	778966	94	
17301504	17301504	5509864	5649944	11534336	1845056	9314752	11534336	3156444	1642236	0	765766	99	
17301504	17301504	5574708	5585100	11534336	1977200	9182608	11534336	3156764	1505560	0	907852	99	
17301504	17301504	5505288	5654520	11534336	2097020	9062788	11534336	3244012	1642540	0	766489	99	
17301504	17301504	5521588	5638220	11534336	1944180	9215628	11534336	3158856	1505588	0	772183	94	
