b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
6291456	6291456	2029052	2029060	4194304	36316	4021796	4194304	104796	100208	0	175659	96	
6291456	6291456	2029024	2029088	4194304	5800	4052312	4194304	6408	608	0	60633	13	
6291456	6291456	2029036	2029076	4194304	5568	4052544	4194304	8520	2952	0	49451	50	
6291456	6291456	2028888	2029224	4194304	4296	4053816	4194304	4800	504	0	47349	9	
6291456	6291456	2029024	2029088	4194304	2580	4055532	4194304	3036	456	0	41728	10	
6291456	6291456	2028872	2029240	4194304	2636	4055476	4194304	2936	300	0	43249	11	
6291456	6291456	2029044	2029068	4194304	5612	4052500	4194304	6104	492	0	46454	18	
6291456	6291456	2028856	2029256	4194304	1576	4056536	4194304	1576	0	0	34344	0	
6291456	6291456	2028984	2029128	4194304	2752	4055360	4194304	2752	0	0	36507	0	
6291456	6291456	2028952	2029160	4194304	4052	4054060	4194304	4272	220	0	41200	7	
6291456	6291456	2029052	2029060	4194304	2352	4055760	4194304	3120	768	0	37438	18	
6291456	6291456	2029048	2029064	4194304	5900	4052212	4194304	5900	0	0	38638	0	
6291456	6291456	2029040	2029072	4194304	5540	4052572	4194304	5540	0	0	37807	0	
6291456	6291456	2029040	2029072	4194304	6484	4051628	4194304	6484	0	0	40078	0	
6291456	6291456	2029040	2029072	4194304	6336	4051776	4194304	7120	784	0	43739	12	
6291456	6291456	2029056	2029056	4194304	6620	4051492	4194304	7316	696	0	42547	10	
6291456	6291456	2029016	2029096	4194304	5280	4052832	4194304	5280	0	0	41984	0	
6291456	6291456	2028932	2029180	4194304	1920	4056192	4194304	1920	0	0	34491	0	
6291456	6291456	2028916	2029196	4194304	5920	4052192	4194304	5920	0	0	37074	0	
6291456	6291456	2028916	2029196	4194304	6368	4051744	4194304	6368	0	0	38265	0	
6291456	6291456	2028980	2029132	4194304	7264	4050848	4194304	7264	0	0	39705	0	
6291456	6291456	2029044	2029068	4194304	6252	4051860	4194304	7264	1012	0	40503	13	
6291456	6291456	2028880	2029232	4194304	6368	4051744	4194304	6368	0	0	34882	0	
6291456	6291456	2029032	2029080	4194304	2584	4055528	4194304	2584	0	0	34655	0	
6291456	6291456	2029016	2029096	4194304	5480	4052632	4194304	5480	0	0	38221	0	
