b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
1572864	1572864	456480	558048	1048576	100376	914152	1048576	382208	314584	0	366407	94	
1572864	1572864	456528	558000	1048576	388848	625680	1048576	405776	67624	0	204278	100	
1572864	1572864	456480	558048	1048576	100376	914152	1048576	405776	338152	0	361832	100	
1572864	1572864	642472	372056	1196032	100376	914152	1048576	270952	202832	0	79699	299	
1572864	1572864	642472	372056	1196032	60	1014468	1048576	203376	203316	0	92998	298	
1572864	1572864	777680	236848	1343488	148	1014380	1048576	270612	270464	0	32045	450773	
1572864	1572864	507264	507264	1048576	12	1014516	1048576	148	136	0	28655	91	
1572864	1572864	507264	507264	1048576	204	1014324	1048576	204	0	0	29422	0	
1572864	1572864	507264	507264	1048576	12	1014516	1048576	204	192	0	25438	94	
1572864	1572864	507264	507264	1048576	48	1014480	1048576	48	0	0	25686	0	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	48	12	0	28488	25	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	21164	0	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	20496	0	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	24	0	0	20331	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	27286	0	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	108	72	0	31176	66	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	20939	0	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	20021	0	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	20138	0	
1572864	1572864	507264	507264	1048576	252	1014276	1048576	252	0	0	89336	0	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	240	216	0	30093	85	
1572864	1572864	507264	507264	1048576	36	1014492	1048576	36	0	0	24973	0	
1572864	1572864	507264	507264	1048576	48	1014480	1048576	48	0	0	142723	0	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	48	24	0	26623	50	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	24	0	0	29761	0	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	24	0	0	33835	0	
1572864	1572864	507264	507264	1048576	24	1014504	1048576	24	0	0	19917	0	
1572864	1572864	507264	507264	1048576	156	1014372	1048576	156	0	0	24879	0	
1572864	1572864	507264	507264	1048576	216	1014312	1048576	264	48	0	81848	30	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	216	108	0	30971	50	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	22911	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	22412	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	21499	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	22570	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	21067	0	
1572864	1572864	507264	507264	1048576	108	1014420	1048576	108	0	0	20665	0	
1572864	1572864	507264	507264	1048576	156	1014372	1048576	156	0	0	42707	0	
1572864	1572864	507264	507264	1048576	12	1014516	1048576	12	0	0	36976	0	
1572864	1572864	777680	236848	1343488	456	1014072	1048576	270872	270416	0	137449	2253466	
1572864	1572864	507232	507296	1048576	26752	987776	1048576	26808	56	0	130283	12	
1572864	1572864	507224	507304	1048576	52	1014476	1048576	26792	26740	0	137616	99	
