b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
4718592	4718592	1927416	1116168	3588096	196	3043388	3145728	568184	567988	0	165473	155	
4718592	4718592	1521792	1521792	3145728	240	3043344	3145728	300	60	0	54033	30	
4718592	4718592	1521792	1521792	3145728	36	3043548	3145728	240	204	0	46993	85	
4718592	4718592	1521792	1521792	3145728	108	3043476	3145728	108	0	0	83635	0	
4718592	4718592	1521792	1521792	3145728	36	3043548	3145728	108	72	0	29734	66	
4718592	4718592	1521792	1521792	3145728	252	3043332	3145728	252	0	0	30691	0	
4718592	4718592	1521792	1521792	3145728	48	3043536	3145728	264	216	0	29943	85	
4718592	4718592	1521792	1521792	3145728	156	3043428	3145728	156	0	0	27143	0	
4718592	4718592	1521792	1521792	3145728	216	3043368	3145728	264	48	0	29319	30	
4718592	4718592	1521792	1521792	3145728	108	3043476	3145728	216	108	0	26493	50	
4718592	4718592	1521792	1521792	3145728	132	3043452	3145728	132	0	0	57357	0	
4718592	4718592	1792208	1251376	3440640	456	3043128	3145728	270872	270416	0	38692	204860	
4718592	4718592	1521764	1521820	3145728	43620	2999964	3145728	26848	56	0	157951	12	
