b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
36175872	36175872	11667064	11667080	24117248	2152164	21181980	24117248	2822904	917768	0	3673733	88	
36175872	36175872	11827504	11506640	24293376	620824	22713320	24117248	899296	442488	0	785937	23	
36175872	36175872	11667064	11667080	24117248	1656640	21677504	24117248	1715180	437684	0	2009648	95	
36175872	36175872	11834556	11499588	24293376	577084	22757060	24117248	855824	439028	0	681968	34	
36175872	36175872	11667064	11667080	24117248	1347868	21986276	24117248	1577000	409040	0	2988331	98	
36175872	36175872	11834088	11500056	24293376	552908	22781236	24117248	918644	438664	0	690607	37	
36175872	36175872	11667064	11667080	24117248	2373028	20961116	24117248	2428652	340920	0	3390271	71	
36175872	36175872	11834004	11500140	24293376	513596	22820548	24117248	829776	437852	0	669575	20	
36175872	36175872	11667064	11667080	24117248	2407360	20926784	24117248	2491540	338152	0	3317797	86	
36175872	36175872	11834544	11499600	24293376	640544	22693600	24117248	980712	439592	0	575413	20	
36175872	36175872	11663044	11671100	24117248	380192	22953952	24117248	639992	335964	0	573766	62	
36175872	36175872	11830260	11503884	24293376	646752	22687392	24117248	910264	449484	0	677348	147	
36175872	36175872	11834560	11499584	24293376	627128	22707016	24117248	1019956	595344	0	506723	129	
36175872	36175872	11648784	11685360	24117248	458128	22876016	24117248	698024	300268	0	448474	70	
36175872	36175872	11834544	11499600	24293376	416008	22918136	24117248	905460	528304	0	574302	132	
36175872	36175872	11667072	11667072	24117248	597604	22736540	24117248	524856	0	0	272912	0	
36175872	36175872	11834552	11499592	24293376	440388	22893756	24117248	1000212	666604	0	694942	127	
36175872	36175872	11667060	11667084	24117248	1548468	21785676	24117248	1675596	313912	0	2035981	94	
36175872	36175872	11834560	11499584	24293376	664876	22669268	24117248	903916	476412	0	386899	34	
36175872	36175872	11667060	11667084	24117248	2184932	21149212	24117248	2278496	337000	0	3003183	78	
36175872	36175872	11834552	11499592	24293376	658092	22676052	24117248	875188	437744	0	493044	22	
36175872	36175872	11667068	11667076	24117248	2471332	20862812	24117248	2532316	337048	0	3530000	77	
36175872	36175872	11834548	11499596	24293376	678772	22655372	24117248	1031372	437336	0	573362	19	
36175872	36175872	11654528	11679616	24117248	406264	22927880	24117248	646244	335620	0	449193	56	
36175872	36175872	11834024	11500120	24293376	611324	22722820	24117248	894244	451388	0	556919	145	
36175872	36175872	11830828	11503316	24293376	716308	22617836	24117248	1157044	591412	0	616147	133	
36175872	36175872	11667060	11667084	24117248	637684	22696460	24117248	742632	300056	0	420632	53	
36175872	36175872	11834520	11499624	24293376	461372	22872772	24117248	907012	528136	0	428843	119	
36175872	36175872	11667060	11667084	24117248	687944	22646200	24117248	851476	310440	0	508367	81	
36175872	36175872	11834552	11499592	24293376	584584	22749560	24117248	957712	561492	0	588314	103	
36175872	36175872	11667060	11667084	24117248	1548468	21785676	24117248	1615492	312268	0	2033172	78	
36175872	36175872	11834552	11499592	24293376	590692	22743452	24117248	903960	476128	0	558888	36	
36175872	36175872	11667060	11667084	24117248	2217700	21116444	24117248	2300852	337308	0	3008575	78	
36175872	36175872	11834556	11499588	24293376	578288	22755856	24117248	871776	437492	0	591662	22	
36175872	36175872	11667064	11667080	24117248	2626660	20707484	24117248	2587332	337056	0	3563308	77	
36175872	36175872	11834544	11499600	24293376	683948	22650196	24117248	947988	437356	0	471744	19	
36175872	36175872	11667064	11667080	24117248	496604	22837540	24117248	626600	335800	0	405290	65	
36175872	36175872	11834540	11499604	24293376	668064	22666080	24117248	917352	442116	0	406614	152	
36175872	36175872	11834560	11499584	24293376	659896	22674248	24117248	1059188	600640	0	511879	126	
36175872	36175872	11667064	11667080	24117248	637684	22696460	24117248	743324	302732	0	397028	66	
36175872	36175872	11833276	11500868	24293376	461372	22872772	24117248	880632	526152	0	719035	119	
