b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
12582912	12582912	4057980	4058244	8388608	33064	8083160	8388608	37092	36676	0	153787	97	
12582912	12582912	4058020	4058204	8388608	636	8115588	8388608	692	56	0	55047	13	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	42857	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	37462	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	37702	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	45489	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	40802	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	39483	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	40125	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	36089	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	36907	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	35860	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	53731	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	39926	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	38160	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	41814	0	
12582912	12582912	4058112	4058112	8388608	932	8115292	8388608	932	0	0	42982	0	
