b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
36175872	36175872	11667064	11667080	24117248	2372904	20961240	24117248	9312588	7285032	0	3907902	98	
36175872	36175872	11807192	11526952	24268800	6523080	16811064	24117248	7877296	2062948	0	2631105	101	
36175872	36175872	11667072	11667072	24117248	3694948	19639196	24117248	9109304	5777508	0	3374196	99	
36175872	36175872	11667072	11667072	24117248	2891240	20442904	24117248	5778952	3279660	0	2952338	98	
36175872	36175872	11666984	11667160	24117248	5391736	17942408	24117248	7292180	2492028	0	2858312	99	
36175872	36175872	11667072	11667072	24117248	4238488	19095656	24117248	8505048	4754384	0	3640751	99	
36175872	36175872	11807192	11526952	24268800	5237028	18097116	24117248	8422776	3796160	0	3627842	101	
36175872	36175872	11667032	11667112	24117248	5102828	18231316	24117248	9158564	4614940	0	3251809	99	
36175872	36175872	11667060	11667084	24117248	4430416	18903728	24117248	3906276	0	0	1714503	0	
36175872	36175872	11667012	11667132	24117248	5021400	18312744	24117248	8313500	3876496	0	3125869	99	
36175872	36175872	11807184	11526960	24268800	4696680	18637464	24117248	8642380	4482528	0	2774377	101	
36175872	36175872	11666608	11667536	24117248	4925664	18408480	24117248	8526716	4144728	0	2880938	99	
36175872	36175872	11667052	11667092	24117248	3216404	20117740	24117248	7154136	4364084	0	2896559	99	
36175872	36175872	11667072	11667072	24117248	4904612	18429532	24117248	7084740	2779292	0	2952122	99	
36175872	36175872	11667072	11667072	24117248	4692660	18641484	24117248	8401356	4263184	0	3018514	99	
36175872	36175872	11807196	11526948	24268800	4950728	18383416	24117248	8551724	4184004	0	3353328	101	
36175872	36175872	11666960	11667184	24117248	6801060	16533084	24117248	6062640	0	0	2416490	0	
36175872	36175872	11667072	11667072	24117248	1953004	21381140	24117248	7692348	6017508	0	3101575	99	
36175872	36175872	11667064	11667080	24117248	6789276	16544868	24117248	7650312	1662032	0	2816386	99	
36175872	36175872	11667004	11667140	24117248	3518880	19815264	24117248	9049168	5985640	0	3159618	99	
36175872	36175872	11806272	11527872	24268800	6015804	17318340	24117248	8547924	3194488	0	2700166	104	
36175872	36175872	11667072	11667072	24117248	3094412	20239732	24117248	8084148	5340024	0	3231965	99	
36175872	36175872	11667012	11667132	24117248	3895472	19438672	24117248	6183376	2717000	0	2913811	99	
36175872	36175872	11667068	11667076	24117248	8159256	15174888	24117248	7209240	0	0	2578949	0	
36175872	36175872	11807172	11526972	24268800	2587348	20746796	24117248	9433156	7255192	0	3428401	100	
36175872	36175872	11665220	11668924	24117248	6670356	16663788	24117248	8149960	2172096	0	2714358	99	
36175872	36175872	11667068	11667076	24117248	655380	22678764	24117248	6429120	5888672	0	2783580	98	
36175872	36175872	11666960	11667184	24117248	7309552	16024592	24117248	7045072	539880	0	2525098	99	
36175872	36175872	11807128	11527016	24268800	8208724	15125420	24117248	7432356	140128	0	2497027	0	
36175872	36175872	11667000	11667144	24117248	2453876	20880268	24117248	9368332	7264872	0	2520948	99	
