b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
29884416	29884416	9638016	0	19922944	68284	9569732	19922944	70620	65292	0	646817	95	
29884416	29884416	360944	9277072	19922944	0	9638016	19922944	8096	8096	0	859827	151	
29884416	29884416	9638012	4	19922944	123108	9514908	19922944	100900	0	0	176673	0	
29884416	29884416	9638012	4	19922944	2676	9635340	19922944	216160	213484	0	238507	211	
29884416	29884416	9638008	8	19922944	1736	9636280	19922944	462264	460528	0	265914	17209	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	1664	1640	0	155419	94	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	686904	686880	0	223643	2862000	
29884416	29884416	9638008	8	19922944	864	9637152	19922944	864	0	0	126386	0	
29884416	29884416	9638008	8	19922944	24	9637992	19922944	1031176	1031152	0	321349	119346	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	106267	0	
29884416	29884416	9638012	4	19922944	456	9637560	19922944	456	0	0	101669	0	
29884416	29884416	9638008	8	19922944	96	9637920	19922944	1546168	1546072	0	412860	339050	
29884416	29884416	9638008	8	19922944	1400	9636616	19922944	1400	0	0	134241	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	1400	1376	0	125144	98	
29884416	29884416	9638008	8	19922944	2772	9635244	19922944	2772	0	0	243002	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	2321224	2321200	0	573391	83737	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	24	0	0	110694	0	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	24	0	0	91368	0	
29884416	29884416	9638008	8	19922944	508	9637508	19922944	508	0	0	90318	0	
29884416	29884416	9638012	4	19922944	648	9637368	19922944	1060	412	0	121363	81	
29884416	29884416	9638012	4	19922944	80	9637936	19922944	344	264	0	129287	40	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	80	56	0	101665	70	
29884416	29884416	9638012	4	19922944	96	9637920	19922944	3477948	3477852	0	725352	14491050	
29884416	29884416	9638008	8	19922944	96	9637920	19922944	96	0	0	114424	0	
29884416	29884416	9638012	4	19922944	60	9637956	19922944	60	0	0	95467	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	94191	0	
29884416	29884416	9638016	0	19922944	52	9637964	19922944	52	0	0	93540	0	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	52	28	0	101394	53	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	24	0	0	91809	0	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	24	0	0	127072	0	
29884416	29884416	9638012	4	19922944	96	9637920	19922944	96	0	0	95361	0	
29884416	29884416	9638016	0	19922944	3980	9634036	19922944	3980	0	0	117728	0	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	3908	3884	0	142344	97	
29884416	29884416	9638016	0	19922944	24	9637992	19922944	5216868	5216844	0	1027755	21736850	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	117627	0	
29884416	29884416	9638012	4	19922944	80	9637936	19922944	80	0	0	99538	0	
29884416	29884416	9638012	4	19922944	192	9637824	19922944	248	56	0	123118	70	
29884416	29884416	9638012	4	19922944	556	9637460	19922944	724	168	0	119874	87	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	556	532	0	120193	95	
29884416	29884416	9638008	8	19922944	96	9637920	19922944	96	0	0	94390	0	
29884416	29884416	9638008	8	19922944	180	9637836	19922944	180	0	0	110940	0	
29884416	29884416	9638012	4	19922944	1760	9636256	19922944	1844	84	0	114224	46	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	1688	1664	0	138123	94	
29884416	29884416	9638008	8	19922944	24	9637992	19922944	24	0	0	90338	0	
29884416	29884416	9638008	8	19922944	24	9637992	19922944	24	0	0	91466	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	90103	0	
29884416	29884416	9638008	8	19922944	24	9637992	19922944	24	0	0	89065	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	91521	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	7825356	7825332	0	1595003	32605550	
29884416	29884416	65568	9572448	19922944	0	9638016	19922944	64860	64860	0	2288759	270250	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	24	0	0	103753	0	
29884416	29884416	9638012	4	19922944	628	9637388	19922944	628	0	0	127661	0	
29884416	29884416	9638012	4	19922944	24	9637992	19922944	628	604	0	135911	96	
29884416	29884416	9638016	0	19922944	96	9637920	19922944	96	0	0	92517	0	
29884416	29884416	9638016	0	19922944	96	9637920	19922944	96	0	0	94552	0	
