b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
28311552	28311552	9130744	8	18874368	34436	9096316	18874368	56856	50172	0	274022	88	
28311552	28311552	9130744	8	18874368	35384	9095368	18874368	8228	4452	0	96931	66	
28311552	28311552	9130740	12	18874368	4060	9126692	18874368	4244	184	0	68389	4	
28311552	28311552	9130752	0	18874368	2092	9128660	18874368	4052	1960	0	61137	48	
28311552	28311552	9130744	8	18874368	1752	9129000	18874368	1804	52	0	57540	2	
28311552	28311552	9130748	4	18874368	2144	9128608	18874368	2144	0	0	53464	0	
28311552	28311552	9130712	40	18874368	3332	9127420	18874368	3332	0	0	58489	0	
28311552	28311552	9130696	56	18874368	2200	9128552	18874368	2588	388	0	57436	11	
28311552	28311552	9130740	12	18874368	2032	9128720	18874368	2032	0	0	51681	0	
28311552	28311552	9130728	24	18874368	2764	9127988	18874368	2816	52	0	86114	2	
28311552	28311552	9130740	12	18874368	2052	9128700	18874368	2052	0	0	78277	0	
28311552	28311552	9130724	28	18874368	2600	9128152	18874368	2612	12	0	81501	0	
28311552	28311552	9130744	8	18874368	2052	9128700	18874368	2080	28	0	55640	1	
28311552	28311552	9130732	20	18874368	1932	9128820	18874368	1932	0	0	48074	0	
28311552	28311552	9130736	16	18874368	2160	9128592	18874368	2172	12	0	54879	0	
28311552	28311552	9130736	16	18874368	2736	9128016	18874368	2736	0	0	48775	0	
28311552	28311552	9130700	52	18874368	2944	9127808	18874368	2956	12	0	56648	0	
28311552	28311552	9130724	28	18874368	1932	9128820	18874368	1932	0	0	51297	0	
28311552	28311552	9130700	52	18874368	2260	9128492	18874368	2272	12	0	54051	0	
28311552	28311552	9130724	28	18874368	2092	9128660	18874368	2092	0	0	51913	0	
28311552	28311552	9130696	56	18874368	1980	9128772	18874368	1992	12	0	55845	0	
28311552	28311552	9130732	20	18874368	2920	9127832	18874368	2920	0	0	55277	0	
28311552	28311552	9130720	32	18874368	1992	9128760	18874368	1992	0	0	51329	0	
28311552	28311552	9130752	0	18874368	1992	9128760	18874368	2004	12	0	51294	0	
28311552	28311552	9130728	24	18874368	2064	9128688	18874368	2064	0	0	52870	0	
28311552	28311552	9130748	4	18874368	2412	9128340	18874368	2424	12	0	55581	0	
28311552	28311552	9130704	48	18874368	2836	9127916	18874368	2836	0	0	54058	0	
28311552	28311552	9130716	36	18874368	1932	9128820	18874368	1944	12	0	55047	0	
28311552	28311552	9130732	20	18874368	2212	9128540	18874368	2212	0	0	52335	0	
28311552	28311552	9130708	44	18874368	2080	9128672	18874368	2092	12	0	55686	0	
28311552	28311552	9130752	0	18874368	2004	9128748	18874368	2004	0	0	51000	0	
28311552	28311552	9130748	4	18874368	2736	9128016	18874368	2736	0	0	53086	0	
28311552	28311552	9130732	20	18874368	1960	9128792	18874368	1972	12	0	55200	0	
28311552	28311552	9130724	28	18874368	2132	9128620	18874368	2132	0	0	52774	0	
28311552	28311552	9130716	36	18874368	1692	9129060	18874368	1704	12	0	55083	0	
28311552	28311552	9130728	24	18874368	2524	9128228	18874368	2524	0	0	52948	0	
28311552	28311552	9130724	28	18874368	2092	9128660	18874368	2104	12	0	56459	0	
28311552	28311552	9130716	36	18874368	2072	9128680	18874368	2072	0	0	51713	0	
28311552	28311552	9130732	20	18874368	2112	9128640	18874368	2112	0	0	50727	0	
28311552	28311552	9130716	36	18874368	1980	9128772	18874368	1992	12	0	55464	0	
28311552	28311552	9130696	56	18874368	2616	9128136	18874368	2616	0	0	52849	0	
28311552	28311552	9130696	56	18874368	2292	9128460	18874368	2304	12	0	55209	0	
28311552	28311552	9130712	40	18874368	2044	9128708	18874368	2044	0	0	51494	0	
28311552	28311552	9130744	8	18874368	2352	9128400	18874368	2364	12	0	57081	0	
28311552	28311552	9130712	40	18874368	2052	9128700	18874368	2052	0	0	51111	0	
28311552	28311552	9130728	24	18874368	2412	9128340	18874368	2424	12	0	53757	0	
28311552	28311552	9130752	0	18874368	2736	9128016	18874368	2736	0	0	52667	0	
28311552	28311552	9130724	28	18874368	1944	9128808	18874368	1944	0	0	46697	0	
28311552	28311552	9130744	8	18874368	1752	9129000	18874368	1764	12	0	55424	0	
28311552	28311552	9130744	8	18874368	2052	9128700	18874368	2052	0	0	51619	0	
28311552	28311552	9130704	48	18874368	2364	9128388	18874368	2376	12	0	56254	0	
28311552	28311552	9130712	40	18874368	2344	9128408	18874368	2344	0	0	51478	0	
28311552	28311552	9130720	32	18874368	2744	9128008	18874368	2756	12	0	55826	0	
28311552	28311552	9130724	28	18874368	2052	9128700	18874368	2052	0	0	50734	0	
28311552	28311552	9130708	44	18874368	1680	9129072	18874368	1692	12	0	54397	0	
28311552	28311552	9130716	36	18874368	1992	9128760	18874368	1992	0	0	51028	0	
28311552	28311552	9130740	12	18874368	2256	9128496	18874368	2256	0	0	50553	0	
28311552	28311552	9130740	12	18874368	2352	9128400	18874368	2364	12	0	55393	0	
28311552	28311552	9130720	32	18874368	2424	9128328	18874368	2424	0	0	51494	0	
28311552	28311552	9130684	68	18874368	1692	9129060	18874368	1704	12	0	55769	0	
28311552	28311552	9130720	32	18874368	2424	9128328	18874368	2424	0	0	51076	0	
28311552	28311552	9130752	0	18874368	1920	9128832	18874368	1932	12	0	67025	0	
28311552	28311552	9130740	12	18874368	2052	9128700	18874368	2052	0	0	49491	0	
28311552	28311552	9130696	56	18874368	1912	9128840	18874368	1912	0	0	48730	0	
28311552	28311552	9130736	16	18874368	1900	9128852	18874368	1912	12	0	52380	0	
28311552	28311552	9130744	8	18874368	2688	9128064	18874368	2688	0	0	46980	0	
28311552	28311552	9130704	48	18874368	2040	9128712	18874368	2052	12	0	54407	0	
28311552	28311552	9130740	12	18874368	2736	9128016	18874368	2736	0	0	50340	0	
28311552	28311552	9130700	52	18874368	2100	9128652	18874368	2112	12	0	53752	0	
28311552	28311552	9130712	40	18874368	2004	9128748	18874368	2004	0	0	49856	0	
28311552	28311552	9130708	44	18874368	1980	9128772	18874368	1992	12	0	52910	0	
28311552	28311552	9130752	0	18874368	2616	9128136	18874368	2616	0	0	50977	0	
28311552	28311552	9130736	16	18874368	2988	9127764	18874368	2988	0	0	52076	0	
28311552	28311552	9130752	0	18874368	1752	9129000	18874368	1764	12	0	54960	0	
28311552	28311552	9130736	16	18874368	2212	9128540	18874368	2212	0	0	49196	0	
28311552	28311552	9130700	52	18874368	2292	9128460	18874368	2304	12	0	53338	0	
28311552	28311552	9130720	32	18874368	2736	9128016	18874368	2736	0	0	50330	0	
28311552	28311552	9130748	4	18874368	3056	9127696	18874368	3068	12	0	55766	0	
28311552	28311552	9130708	44	18874368	1912	9128840	18874368	1912	0	0	50485	0	
28311552	28311552	9130636	116	18874368	1704	9129048	18874368	1704	0	0	49271	0	
28311552	28311552	9130720	32	18874368	1920	9128832	18874368	1932	12	0	53242	0	
28311552	28311552	9130704	48	18874368	2304	9128448	18874368	2304	0	0	49777	0	
28311552	28311552	9130708	44	18874368	3076	9127676	18874368	3088	12	0	53496	0	
28311552	28311552	9130728	24	18874368	2364	9128388	18874368	2364	0	0	53476	0	
28311552	28311552	9130712	40	18874368	1980	9128772	18874368	1992	12	0	54536	0	
28311552	28311552	9130720	32	18874368	2152	9128600	18874368	2152	0	0	50956	0	
28311552	28311552	9130720	32	18874368	1980	9128772	18874368	1992	12	0	54084	0	
28311552	28311552	9130696	56	18874368	2004	9128748	18874368	2004	0	0	50728	0	
28311552	28311552	9130744	8	18874368	2172	9128580	18874368	2172	0	0	49591	0	
28311552	28311552	9130728	24	18874368	1860	9128892	18874368	1872	12	0	53403	0	
28311552	28311552	9130732	20	18874368	2376	9128376	18874368	2376	0	0	50492	0	
28311552	28311552	9130732	20	18874368	1980	9128772	18874368	1992	12	0	54115	0	
28311552	28311552	9130700	52	18874368	2364	9128388	18874368	2364	0	0	50893	0	
28311552	28311552	9130724	28	18874368	1960	9128792	18874368	1972	12	0	53049	0	
28311552	28311552	9130728	24	18874368	2092	9128660	18874368	2092	0	0	49583	0	
28311552	28311552	9130752	0	18874368	1800	9128952	18874368	1812	12	0	54192	0	
28311552	28311552	9130724	28	18874368	2856	9127896	18874368	2856	0	0	51039	0	
28311552	28311552	9130752	0	18874368	2304	9128448	18874368	2304	0	0	50337	0	
28311552	28311552	9130728	24	18874368	2352	9128400	18874368	2364	12	0	53383	0	
28311552	28311552	9130740	12	18874368	2304	9128448	18874368	2304	0	0	49507	0	
28311552	28311552	9130724	28	18874368	2000	9128752	18874368	2012	12	0	53282	0	
28311552	28311552	9130724	28	18874368	3048	9127704	18874368	3048	0	0	51047	0	
28311552	28311552	9130752	0	18874368	2884	9127868	18874368	2896	12	0	55009	0	
28311552	28311552	9130752	0	18874368	2052	9128700	18874368	2052	0	0	49563	0	
28311552	28311552	9130748	4	18874368	2172	9128580	18874368	2172	0	0	49108	0	
28311552	28311552	9130720	32	18874368	1920	9128832	18874368	1932	12	0	53240	0	
28311552	28311552	9130724	28	18874368	2212	9128540	18874368	2212	0	0	49365	0	
28311552	28311552	9130728	24	18874368	2928	9127824	18874368	2940	12	0	55364	0	
28311552	28311552	9130704	48	18874368	2676	9128076	18874368	2676	0	0	50186	0	
28311552	28311552	9130704	48	18874368	2040	9128712	18874368	2052	12	0	53614	0	
28311552	28311552	9130752	0	18874368	2020	9128732	18874368	2020	0	0	50357	0	
28311552	28311552	9130752	0	18874368	2532	9128220	18874368	2544	12	0	55689	0	
28311552	28311552	9130708	44	18874368	2676	9128076	18874368	2676	0	0	51054	0	
28311552	28311552	9130740	12	18874368	2376	9128376	18874368	2376	0	0	49168	0	
28311552	28311552	9130716	36	18874368	1692	9129060	18874368	1704	12	0	52185	0	
28311552	28311552	9130732	20	18874368	2152	9128600	18874368	2152	0	0	49511	0	
28311552	28311552	9130720	32	18874368	1812	9128940	18874368	1824	12	0	53359	0	
28311552	28311552	9130696	56	18874368	2212	9128540	18874368	2212	0	0	50175	0	
28311552	28311552	9130720	32	18874368	2100	9128652	18874368	2112	12	0	52560	0	
28311552	28311552	9130696	56	18874368	1992	9128760	18874368	1992	0	0	48843	0	
28311552	28311552	9130752	0	18874368	2100	9128652	18874368	2112	12	0	52243	0	
28311552	28311552	9130724	28	18874368	2052	9128700	18874368	2052	0	0	48623	0	
28311552	28311552	9130700	52	18874368	2688	9128064	18874368	2688	0	0	50473	0	
28311552	28311552	9130700	52	18874368	2724	9128028	18874368	2736	12	0	54891	0	
28311552	28311552	9130704	48	18874368	2304	9128448	18874368	2304	0	0	49233	0	
28311552	28311552	9130696	56	18874368	1680	9129072	18874368	1692	12	0	52431	0	
28311552	28311552	9130696	56	18874368	2272	9128480	18874368	2272	0	0	49934	0	
28311552	28311552	9130732	20	18874368	2352	9128400	18874368	2364	12	0	53451	0	
28311552	28311552	9130716	36	18874368	2980	9127772	18874368	2980	0	0	51348	0	
28311552	28311552	9130732	20	18874368	1992	9128760	18874368	1992	0	0	45254	0	
28311552	28311552	9130724	28	18874368	2140	9128612	18874368	2152	12	0	53279	0	
28311552	28311552	9130740	12	18874368	1992	9128760	18874368	1992	0	0	49296	0	
28311552	28311552	9130732	20	18874368	2724	9128028	18874368	2736	12	0	54318	0	
28311552	28311552	9130724	28	18874368	2796	9127956	18874368	2796	0	0	50469	0	
28311552	28311552	9130744	8	18874368	2412	9128340	18874368	2424	12	0	53717	0	
28311552	28311552	9130752	0	18874368	1932	9128820	18874368	1932	0	0	48575	0	
28311552	28311552	9130724	28	18874368	2200	9128552	18874368	2212	12	0	53389	0	
28311552	28311552	9130716	36	18874368	2896	9127856	18874368	2896	0	0	50820	0	
28311552	28311552	9130748	4	18874368	3108	9127644	18874368	3108	0	0	50355	0	
28311552	28311552	9130724	28	18874368	2352	9128400	18874368	2364	12	0	54154	0	
28311552	28311552	9130720	32	18874368	1972	9128780	18874368	1972	0	0	48847	0	
28311552	28311552	9130720	32	18874368	1920	9128832	18874368	1932	12	0	52660	0	
