b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
1572864	1572864	507248	16	1048576	80124	427140	1048576	288436	208328	0	348008	91	
1572864	1572864	507260	4	1048576	206636	300628	1048576	286712	80076	0	486404	99	
1572864	1572864	507264	0	1048576	152216	355048	1048576	358768	206552	0	681714	99	
1572864	1572864	507244	20	1048576	164636	342628	1048576	316500	151864	0	558017	99	
1572864	1572864	507188	76	1048576	115840	391424	1048576	280464	164624	0	511231	99	
1572864	1572864	507228	36	1048576	288	506976	1048576	116128	115840	0	257473	100	
1572864	1572864	507264	0	1048576	288552	218712	1048576	261048	244	0	96812	84	
1572864	1572864	504108	3156	1048576	152936	354328	1048576	412916	259980	0	198267	99	
1572864	1572864	503396	3868	1048576	275692	231572	1048576	400936	152908	0	90593	99	
1572864	1572864	507012	252	1048576	165412	341852	1048576	413412	248000	0	128713	99	
1572864	1572864	507256	8	1048576	120860	386404	1048576	286244	165384	0	113673	99	
