b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
23592960	23592960	7608960	0	15728640	32816	7576144	15728640	6910336	6891132	0	3855529	100	
23592960	23592960	7608944	16	15728640	1440604	6168356	15728640	1219856	4040	0	1024756	21	
23592960	23592960	7608936	24	15728640	1523524	6085436	15728640	2408816	1145148	0	1668383	94	
23592960	23592960	2190128	5418832	15728640	0	7608960	15728640	410240	410240	0	1652585	32	
23592960	23592960	1848780	5760180	15728640	0	7608960	15728640	276460	276460	0	1832528	0	
23592960	23592960	1857628	5751332	15728640	0	7608960	15728640	281500	281500	0	1303325	0	
23592960	23592960	1960020	5648940	15728640	0	7608960	15728640	300772	300772	0	1289277	0	
23592960	23592960	1907848	5701112	15728640	0	7608960	15728640	280952	280952	0	1401862	0	
23592960	23592960	1838756	5770204	15728640	0	7608960	15728640	288396	288396	0	1522409	0	
23592960	23592960	1964188	5644772	15728640	0	7608960	15728640	303960	303960	0	1054811	0	
23592960	23592960	1946976	5661984	15728640	0	7608960	15728640	287212	287212	0	1088075	0	
23592960	23592960	1854596	5754364	15728640	0	7608960	15728640	279340	279340	0	1104658	0	
23592960	23592960	1854928	5754032	15728640	0	7608960	15728640	280028	280028	0	1102559	0	
23592960	23592960	1868980	5739980	15728640	0	7608960	15728640	282940	282940	0	1368097	0	
23592960	23592960	1956960	5652000	15728640	0	7608960	15728640	288308	288308	0	1245588	0	
23592960	23592960	1936080	5672880	15728640	0	7608960	15728640	288192	288192	0	1056467	0	
23592960	23592960	2005128	5603832	15728640	0	7608960	15728640	322148	322148	0	1684504	0	
23592960	23592960	2067644	5541316	15728640	0	7608960	15728640	309036	309036	0	1392472	0	
23592960	23592960	1945272	5663688	15728640	0	7608960	15728640	285684	285684	0	1210682	0	
23592960	23592960	1838284	5770676	15728640	0	7608960	15728640	274884	274884	0	1283276	0	
23592960	23592960	1827068	5781892	15728640	0	7608960	15728640	274816	274816	0	1114639	0	
23592960	23592960	1856936	5752024	15728640	0	7608960	15728640	279440	279440	0	1054543	0	
23592960	23592960	1865920	5743040	15728640	0	7608960	15728640	280160	280160	0	1205268	0	
23592960	23592960	1853336	5755624	15728640	0	7608960	15728640	277004	277004	0	1167778	0	
23592960	23592960	1853364	5755596	15728640	0	7608960	15728640	270340	270340	0	1193927	0	
