b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
b_initial_y_size_0	b_max_y_size_1	b_used_2	b_available_3	b_committed_4	a_used_5	a_available_6	a_committed_7	a_survived_8	a_promoted_9	a_copied_10	a_time_in_ns_11	promotion_rate_12
9437184	9437184	3043568	3043600	3145728	1294956	4792212	6291456	1152900	0	0	1730904	0	
9437184	9437184	3043568	3043600	3145728	1191712	4895456	6291456	1074288	0	0	1540197	0	
9437184	9437184	3043576	3043592	6291456	907036	5180132	6291456	1840440	1046388	0	2759741	97	
9437184	9437184	3043580	3043588	6291456	928696	5158472	6291456	1834912	1030124	0	3696245	97	
9437184	9437184	3043560	3043608	6291456	840216	5246952	6291456	1900428	1125716	0	2944660	97	
9437184	9437184	3010272	3076896	6291456	865348	5221820	6291456	1844396	1094688	0	1548617	97	
9437184	9437184	3043580	3043588	6291456	1068220	5018948	6291456	1670140	733028	0	2294782	92	
9437184	9437184	3043584	3043584	6291456	1085240	5001928	6291456	1674056	744604	0	2274636	92	
9437184	9437184	3043556	3043612	6291456	1091032	4996136	6291456	1681432	733792	0	1776988	94	
9437184	9437184	3043580	3043588	6291456	1053964	5033204	6291456	1643444	709628	0	1969703	94	
9437184	9437184	3179160	2908008	6438912	930540	5156628	6291456	1800548	982348	0	1783507	104	
9437184	9437184	3179160	2908008	6438912	933864	5153304	6291456	1788120	974688	0	1889747	104	
9437184	9437184	3043580	3043588	6291456	1018336	5068832	6291456	1692984	818200	0	1325640	100	
9437184	9437184	3043568	3043600	6291456	963836	5123332	6291456	1688040	813432	0	2840520	100	
9437184	9437184	3246996	2840172	6504448	947012	5140156	6291456	1917356	1078212	0	3261218	123	
9437184	9437184	3247008	2840160	6504448	966660	5120508	6291456	1937920	1077936	0	2100623	123	
9437184	9437184	3043576	3043592	6291456	1018680	5068488	6291456	1709348	839144	0	1843331	100	
9437184	9437184	3043584	3043584	6291456	1021592	5065576	6291456	1719256	859984	0	2872815	100	
9437184	9437184	3043580	3043588	6291456	832904	5254264	6291456	1637692	933600	0	2170638	99	
9437184	9437184	3043568	3043600	6291456	828036	5259132	6291456	1655632	946176	0	1604534	99	
9437184	9437184	3043572	3043596	6291456	958228	5128940	6291456	1711620	870204	0	2303312	100	
9437184	9437184	3043572	3043596	6291456	964656	5122512	6291456	1696360	859152	0	2343397	99	
9437184	9437184	3043572	3043596	6291456	1051244	5035924	6291456	1615696	683956	0	1592627	97	
9437184	9437184	3348788	2738380	6606848	1015604	5071564	6291456	2010024	1146564	0	2961227	136	
9437184	9437184	3348784	2738384	6606848	1016632	5070536	6291456	2003196	1142416	0	2402138	136	
9437184	9437184	3043560	3043608	6291456	1025836	5061332	6291456	1617300	690984	0	1965377	97	
9437184	9437184	3043572	3043596	6291456	967636	5119532	6291456	1703276	863420	0	1763804	99	
9437184	9437184	3043572	3043596	6291456	937908	5149260	6291456	1699664	860680	0	1802937	99	
9437184	9437184	2956360	3130808	6291456	968420	5118748	6291456	1719912	891560	0	1815296	95	
9437184	9437184	3043560	3043608	6291456	1014856	5072312	6291456	1761608	886236	0	2083490	95	
9437184	9437184	3043584	3043584	6291456	1023092	5064076	6291456	1699508	839856	0	3646590	100	
9437184	9437184	3043572	3043596	6291456	966104	5121064	6291456	1711704	838984	0	3109263	100	
9437184	9437184	3043576	3043592	6291456	968964	5118204	6291456	1733892	872720	0	2056207	100	
9437184	9437184	3043568	3043600	6291456	940252	5146916	6291456	1697368	859652	0	2103144	100	
9437184	9437184	3043568	3043600	6291456	1060612	5026556	6291456	1679380	768168	0	1893721	92	
9437184	9437184	3043576	3043592	6291456	810032	5277136	6291456	1506476	815188	0	3124088	93	
9437184	9437184	3501424	2585744	6758400	968048	5119120	6291456	2178768	1319048	0	3049577	153	
9437184	9437184	3501452	2585716	6758400	1017288	5069880	6291456	2167076	1295592	0	5690835	154	
9437184	9437184	3043584	3043584	6291456	962964	5124204	6291456	1733208	893472	0	9836137	98	
9437184	9437184	3043580	3043588	6291456	1081996	5005172	6291456	1613256	679404	0	6117582	98	
9437184	9437184	3043572	3043596	6291456	1435888	4651280	6291456	1260696	0	0	4169807	0	
9437184	9437184	3043572	3043596	6291456	1022912	5064256	6291456	1693040	799556	0	6926457	95	
9437184	9437184	3043580	3043588	6291456	965324	5121844	6291456	1743992	893772	0	6161574	95	
9437184	9437184	3043572	3043596	6291456	1414328	4672840	6291456	1263204	0	0	1701369	0	
9437184	9437184	3043572	3043596	6291456	772500	5314668	6291456	1926964	1260676	0	2505453	99	
9437184	9437184	3043572	3043596	6291456	948384	5138784	6291456	1727356	893404	0	1508218	99	
9437184	9437184	3043572	3043596	6291456	1052672	5034496	6291456	1705616	790036	0	1465183	92	
9437184	9437184	3043568	3043600	6291456	794868	5292300	6291456	1938700	1263104	0	2478466	99	
9437184	9437184	3043576	3043592	6291456	1082420	5004748	6291456	1605684	666168	0	2334181	99	
9437184	9437184	3043572	3043596	6291456	1056324	5030844	6291456	1698700	807156	0	1254644	96	
9437184	9437184	3043584	3043584	6291456	934632	5152536	6291456	1740736	897840	0	1313092	98	
9437184	9437184	3043584	3043584	6291456	1097664	4989504	6291456	1604364	675596	0	2684955	100	
9437184	9437184	3043584	3043584	6291456	1051724	5035444	6291456	1712948	831340	0	2596302	93	
9437184	9437184	3043584	3043584	6291456	904500	5182668	6291456	1751500	939516	0	2597683	100	
9437184	9437184	2996996	3090172	6291456	1050588	5036580	6291456	1694576	802816	0	2788409	95	
9437184	9437184	3043584	3043584	6291456	899952	5187216	6291456	1734436	928768	0	1479529	100	
9437184	9437184	3043584	3043584	6291456	1029632	5057536	6291456	1699460	811984	0	2216246	100	
9437184	9437184	3043580	3043588	6291456	978220	5108948	6291456	1692948	805668	0	1902387	100	
9437184	9437184	3730460	2356708	6987776	933356	5153812	6291456	2408096	1574236	0	2523398	177	
9437184	9437184	3043576	3043592	6291456	934428	5152740	6291456	1703624	881608	0	2151632	100	
9437184	9437184	3043580	3043588	6291456	1025108	5062060	6291456	1710924	831576	0	2288279	93	
9437184	9437184	3043568	3043600	6291456	1039372	5047796	6291456	1708044	833860	0	3496939	100	
9437184	9437184	3043568	3043600	6291456	958100	5129068	6291456	1713828	861608	0	6230352	97	
9437184	9437184	3730464	2356704	6987776	961016	5126152	6291456	2429544	1574160	0	8187852	177	
9437184	9437184	3043584	3043584	6291456	927804	5159364	6291456	1705016	874124	0	3539608	99	
9437184	9437184	3043576	3043592	6291456	967392	5119776	6291456	1717080	855384	0	5201118	100	
9437184	9437184	3043584	3043584	6291456	1025028	5062140	6291456	1723204	861696	0	4337650	100	
9437184	9437184	3043584	3043584	6291456	1469844	4617324	6291456	1294672	0	0	1072412	0	
9437184	9437184	3039080	3048088	6291456	715820	5371348	6291456	1942996	1294492	0	2029605	99	
9437184	9437184	3043580	3043588	6291456	1150716	4936452	6291456	1608572	630764	0	1735675	97	
9437184	9437184	3043572	3043596	6291456	1524356	4562812	6291456	1313452	0	0	1201572	0	
9437184	9437184	3043580	3043588	6291456	804272	5282896	6291456	1551032	830892	0	1649115	100	
9437184	9437184	3043576	3043592	6291456	965028	5122140	6291456	1758156	917624	0	2598747	93	
9437184	9437184	3043580	3043588	6291456	795388	5291780	6291456	1941420	1286776	0	2241432	97	
9437184	9437184	3043568	3043600	6291456	573364	5513804	6291456	1331892	861508	0	1286133	100	
9437184	9437184	2968284	3118884	6291456	1084984	5002184	6291456	1554972	614564	0	1959042	93	
9437184	9437184	3043572	3043596	6291456	1055244	5031924	6291456	1639560	701776	0	1438796	97	
9437184	9437184	3043580	3043588	6291456	973280	5113888	6291456	1700492	840532	0	1516703	100	
9437184	9437184	3043572	3043596	6291456	1014976	5072192	6291456	1712976	833164	0	1348854	96	
9437184	9437184	3043560	3043608	6291456	1164108	4923060	6291456	1479148	457748	0	1346103	97	
9437184	9437184	3043564	3043604	6291456	1014816	5072352	6291456	1748860	897664	0	2312815	95	
9437184	9437184	3043576	3043592	6291456	944828	5142340	6291456	1795652	981320	0	1940552	96	
9437184	9437184	3043580	3043588	6291456	960632	5126536	6291456	1743948	880224	0	1831106	93	
9437184	9437184	3043556	3043612	6291456	968328	5118840	6291456	1688908	851196	0	2768969	100	
9437184	9437184	3043572	3043596	6291456	972976	5114192	6291456	1725260	845984	0	2043182	97	
9437184	9437184	3043568	3043600	6291456	1015028	5072140	6291456	1716708	819628	0	2096221	93	
9437184	9437184	3043580	3043588	6291456	1091700	4995468	6291456	1677436	754148	0	2533796	92	
9437184	9437184	3043580	3043588	6291456	1018372	5068796	6291456	1728108	839156	0	2836563	95	
9437184	9437184	3179152	2908016	6438912	964548	5122620	6291456	1831668	973288	0	1942082	116	
9437184	9437184	3043576	3043592	6291456	927148	5160020	6291456	1736540	894756	0	4460003	99	
9437184	9437184	3179148	2908020	6438912	898712	5188456	6291456	1777348	968524	0	4207971	104	
9437184	9437184	3043580	3043588	6291456	982416	5104752	6291456	1715344	815108	0	3060445	96	
9437184	9437184	3043564	3043604	6291456	965744	5121424	6291456	1699008	808764	0	2392749	99	
9437184	9437184	3043584	3043584	6291456	928596	5158572	6291456	1726008	888952	0	3571670	100	
9437184	9437184	3043584	3043584	6291456	960320	5126848	6291456	1718520	858380	0	5487355	100	
9437184	9437184	3043580	3043588	6291456	1030760	5056408	6291456	1712560	810380	0	5461068	96	
9437184	9437184	3043584	3043584	6291456	1085608	5001560	6291456	1749236	840052	0	4716029	93	
9437184	9437184	3043576	3043592	6291456	1409948	4677220	6291456	1260772	0	0	2289656	0	
9437184	9437184	3043584	3043584	6291456	1018988	5068180	6291456	1730856	841976	0	1897434	93	
9437184	9437184	3043584	3043584	6291456	795396	5291772	6291456	1938144	1260692	0	3909055	99	
9437184	9437184	3039036	3048132	6291456	926960	5160208	6291456	1717856	903900	0	4728007	99	
9437184	9437184	3043580	3043588	6291456	1440380	4646788	6291456	1261136	0	0	1921001	0	
9437184	9437184	3348780	2738388	6606848	1085460	5001708	6291456	1913796	982660	0	1965471	145	
9437184	9437184	3043580	3043588	6291456	1060008	5027160	6291456	1688768	787280	0	1833556	96	
9437184	9437184	3043580	3043588	6291456	961772	5125396	6291456	1742000	931136	0	1337488	100	
9437184	9437184	3043572	3043596	6291456	800904	5286264	6291456	1925668	1261136	0	5085148	100	
9437184	9437184	3043564	3043604	6291456	1016104	5071064	6291456	1674584	810784	0	1687449	99	
9437184	9437184	3043568	3043600	6291456	761704	5325464	6291456	1531052	888880	0	1508189	100	
9437184	9437184	3043576	3043592	6291456	928804	5158364	6291456	1704436	863800	0	2000715	100	
9437184	9437184	3043584	3043584	6291456	1081092	5006076	6291456	1582272	624432	0	1365438	97	
9437184	9437184	3348784	2738384	6606848	1048480	5038688	6291456	1899344	969700	0	2264287	145	
9437184	9437184	3501452	2585716	6758400	1049040	5038128	6291456	2172120	1298512	0	2133474	154	
9437184	9437184	3043572	3043596	6291456	958576	5128592	6291456	1765168	897656	0	1893737	93	
9437184	9437184	3043580	3043588	6291456	934100	5153068	6291456	1756652	929644	0	1500290	100	
9437184	9437184	3043568	3043600	6291456	934408	5152760	6291456	1698392	873568	0	1175077	99	
9437184	9437184	3043576	3043592	6291456	1022120	5065048	6291456	1717316	841264	0	1944891	93	
9437184	9437184	3043584	3043584	6291456	966472	5120696	6291456	1697904	824804	0	1783599	99	
9437184	9437184	3043568	3043600	6291456	976376	5110792	6291456	1702344	826948	0	2381648	99	
9437184	9437184	3043572	3043596	6291456	967072	5120096	6291456	1736956	873100	0	1674309	100	
9437184	9437184	3043576	3043592	6291456	959564	5127604	6291456	1708328	868240	0	2404202	99	
9437184	9437184	3043576	3043592	6291456	1036168	5051000	6291456	1730492	867492	0	3758769	99	
9437184	9437184	3043580	3043588	6291456	940460	5146708	6291456	1730208	875296	0	5773892	99	
9437184	9437184	3043576	3043592	6291456	1022496	5064672	6291456	1726364	863756	0	3559974	99	
9437184	9437184	3043560	3043608	6291456	924820	5162348	6291456	1698748	862508	0	4134306	99	
9437184	9437184	3043572	3043596	6291456	1044224	5042944	6291456	1690480	836324	0	7354440	96	
9437184	9437184	3501460	2585708	6758400	1024336	5062832	6291456	2184120	1312708	0	6788942	153	
9437184	9437184	3043568	3043600	6291456	1039832	5047336	6291456	1704648	799908	0	6828410	95	
9437184	9437184	3043552	3043616	6291456	909660	5177508	6291456	1708280	871412	0	5458211	100	
9437184	9437184	3043568	3043600	6291456	957460	5129708	6291456	1721512	836868	0	9269359	100	
9437184	9437184	3730464	2356704	6987776	971152	5116016	6291456	2399036	1523120	0	8719496	182	
9437184	9437184	3043572	3043596	6291456	1023864	5063304	6291456	1749660	884544	0	2319076	99	
9437184	9437184	3043584	3043584	6291456	1418012	4669156	6291456	1261200	0	0	2241194	0	
9437184	9437184	3043572	3043596	6291456	961052	5126116	6291456	1701944	865116	0	2542432	100	
9437184	9437184	3043572	3043596	6291456	1027152	5060016	6291456	1698404	836828	0	1751839	100	
9437184	9437184	3043584	3043584	6291456	1412068	4675100	6291456	1261248	0	0	1763778	0	
9437184	9437184	3043556	3043612	6291456	780604	5306564	6291456	1935384	1261200	0	5031557	100	
9437184	9437184	3730456	2356712	6987776	930880	5156288	6291456	2383472	1548396	0	2228090	179	
